Match type,Search term,Excluded Keyword,Keyword,Impressions
broad,best head lice treatment for long thick hair,, +hair +lice,1
phrase,how many eggs do head lice lay,, +head +lice,1
broad,what happpens when you pit head head lice treatment on skmeine whi doesnt need it,, +treating +lice,1
exact (close variant),lice treatments,,[treatment for lice],1
broad,killing the eggs from lice,, +kill +lice,1
phrase,nhs head lice poster,, +head +lice,1
phrase,why does my kid keep getting head lice,, +head +lice,1
phrase,advised time off for head lice,, +head +lice,1
broad,hoption to get rid of heas lice,, +head +lice +rid,1
broad,best hair lice shampoo,, +best +lice +shampoo,1
broad,head lice one treatment,, +treating +lice,1
phrase,head lice foam,, +head +lice,1
phrase,is there a all day spray for head lice,, +head +lice,1
phrase,how to avoid head lice,, +head +lice,1
broad,can you treat your scalp before getting head lice,, +lice +treatment,1
phrase,places to go to get rid of head lice,, +head +lice,1
phrase,best head lice solution on market,, +best +head +lice +solution,1
exact (close variant),way to get rid of head lice,,[ways to get rid of head lice],1
exact (close variant),lice killers,, +lice +killer,1
broad,how to prevent head lice from coming back,, +prevent +lice,1
broad,if you wash your hair with washing up liquid will it get rid of lice nits,, +lice +nits,1
phrase,infested with head lice,, +head +lice,1
broad,best head lice treatment 2016,, +treating +lice,1
broad,best head lice treatment 2016,, +best +treatment +head +lice,1
phrase,head lice treatment no combing,, +head +lice,1
phrase,head lice treatment tesco,, +lice +treatment,1
broad,head lice treatment tesco,, +treating +lice,1
phrase,how often do i need to check for head lice and nits,, +head +lice,1
phrase,vosene shampoo head lice,, +head +lice,1
broad,how to get rid of head lice without buying head lice treatment,, +lice +treatment,1
exact (close variant),killing headlice,,[head lice killer],1
exact (close variant),head lice treatnwnr,,[head lice treatment],1
broad,how to kill head luce,, +kill +lice,1
phrase,asda head lice treatment,, +lice +treatment,1
broad,boots lice treatment,, +treating +lice,1
exact (close variant),kids headlice,, +head +lice +kids,1
phrase (close variant),what brand of hair dye kills lice,, +kill +lice,1
phrase,are head lice more active at night,, +head +lice,1
broad,picksan preventative headlice treatment tesco,, +head +lice +preventative,1
exact (close variant),best head lice remedy,,[best remedy for head lice],1
phrase,cream for head lice,, +head +lice,1
exact (close variant),sign of head lice,,[head lice signs],1
phrase (close variant),headlicr mousse,, +head +lice,1
phrase (close variant),whats best shampoo for headlice repellent,, +best +shampoo +for +head +lice,1
broad,how to get rid of head lice fast,, +rid +lice,1
phrase,head lice and coke,, +head +lice,1
exact (close variant),best headlice shampoo,,[best shampoo for head lice],1
exact (close variant),what to use for headlice,,[what to use for head lice],1
exact (close variant),head licd life cycle,, +head +lice +life +cycle,1
broad,home remedies for killing head lice and eggs,, +remedies +for +lice,1
phrase,how to get rid of lice permanently,, +how +to +get +rid +of +lice,1
phrase (close variant),my daughter has headlice and it has caused her scalp to bleed and scab their is also a smell what can i do to treat this,, +head +lice,1
phrase,what head lice lotion can you use on 2 year old,, +lice +lotion,1
phrase,about head lice,, +head +lice,1
broad,how to get of lice,, +how +to +get +lice,1
broad,how to treat head lice on a baby,, +treating +lice,1
broad,how to get rid from head lice and eggs with home remedies,, +head +lice +rid,1
phrase,why head lice keeps coming back,, +head +lice,1
phrase,head lice treatment for a 18 month old,, +head +lice,1
phrase,are black head lice eggs dead,, +head +lice,1
broad,enzyme shampoos for lice,, +lice +shampoo,1
phrase,what is the most effective lice shampoo,, +most +effective +lice +shampoo,1
phrase,shampoo to prevent lice,, +prevent +lice,1
phrase,do head lice eggs still crack if they are dead,, +head +lice,1
phrase,head lice eggs treatment,, +lice +eggs,1
broad,treat head lice and a red itchy sensitive scalp,, +lice +treatment,1
broad,head love treatment,, +treating +lice,1
phrase,lifespan of head lice,, +head +lice,1
broad,once treated headlice when can ho back to work,, +once +head +lice +treatment,1
broad,how old do u have to be to use head lice treatment,, +lice +treatment,1
broad,best shit for head lice,, +best +for +head +lice,1
exact (close variant),lice treatments at home,, +lice +treatment +at +home,1
phrase,tesco head lice treatment,, +lice +treatment,1
phrase (close variant),what to buy to sort out jhead lice,, +head +lice,1
broad,best ways to get rid of head lice,, +head +lice +rid,1
broad,head lice treatment for 1 year old,, +treatment +for +lice,1
broad,how to remove head lice,, +remove +lice,1
broad,kid head full of lice eggs best treatment,, +kids +lice,1
phrase,head lice repellents,, +head +lice,1
phrase (close variant),headlice prevention,, +head +lice,1
phrase,head lice get rid of fast uk,, +head +lice,1
exact (close variant),head luce,,[head lice],1
phrase,what to do if you have head lice,, +head +lice,1
broad,best product to get rid of lice and eggs,, +best +lice +product,1
phrase,head lice eggs in hair,, +lice +eggs +in +hair,1
broad,treatments for head lice,, +treatment +for +lice,1
phrase,how to use lyclear spray for head lice,, +head +lice,1
phrase,can you use head lice treatment when pregnant,, +lice +treatment,1
broad,best otc lice treatment 2017 uk,, +best +lice +treatment +2017,1
broad,should my head itch during lice treatment,, +head +lice,1
broad,head lice leave in spray,, +lice +spray,1
phrase,how to use lyclear head lice shampoo,, +head +lice,1
phrase,how to remove head lice eggs,, +head +lice +eggs,1
phrase,head lice spray tesco,, +lice +spray,1
phrase,leave in head lice treatment,, +head +lice,1
phrase,getting rid of lice nits,, +lice +nits,1
