Match type,Search term,Excluded Keyword,Keyword,Impressions
phrase,does vodka get rid of head lice,, +head +lice,1
phrase,is tea tree good for head lice,, +head +lice,1
broad,lice treatment shampoos,, +treating +lice,1
broad,natural ways to kill head lice,, +kill +lice,1
broad,does hair dye kill head lice,, +kill +lice,1
broad,shampoo treatment for anti lice health & beauty hair care & styling medicated hair treatments,, +shampoo +for +lice +treatment,1
exact (close variant),life cycle head lice,,[life cycle of head lice],1
phrase,how to prevent head lice if exposed,, +how +to +prevent +head +lice,1
phrase,head lice treatment without silicone,, +lice +treatment,1
broad,how to remove head lice from hair,, +remove +lice,1
exact (close variant),head lice treatnent,,[head lice treatment],1
broad,what gets rid of lice eggs,, +rid +lice,1
phrase (close variant),i think ive got headlice,, +head +lice,1
phrase,head lice stubborn eggs,, +head +lice,1
phrase,most effective head lice treatment australia,, +most +effective +head +lice +treatment,1
phrase,most effective head lice and nit lotion,, +head +lice,1
broad,teepol head lice treatment,, +treating +lice,1
phrase,what to buy to treat head lice,, +head +lice,1
broad,hiw do children get head lice,, +head +lice +children,1
phrase,medicine for head lice in boots,, +head +lice,1
phrase (close variant),headllice treatment,, +head +lice,1
phrase (close variant),top 5 effective childrens headlice repellent products,, +head +lice +repellent,1
exact (close variant),best way tobtreat headlice,,[best way to treat head lice],1
broad,lice sprays for bedding,, +spray +for +lice,1
broad,how to remove headlice,, +remove +lice,1
broad,non greasy head lice treatment,, +treating +lice,1
broad,head licetreatment for under twos,, +treatment +for +lice,1
broad,what is the best product for getting rid of head lice,, +best +product +for +lice,1
broad,insect spray head lice,, +lice +spray,1
phrase,head lice repellent leave in spray,, +head +lice +repellent,1
phrase (close variant),headlice live off,, +head +lice,1
phrase (close variant),hiw to get rid of headlice,, +head +lice,1
phrase,how to treat really bad head lice,, +head +lice,1
phrase,lice shampoo guardian,, +lice +shampoo,1
phrase,how to kill lice,, +kill +lice,1
broad,killing head lice on your own,, +kill +lice,1
broad,for killing lice and eggs what i doing,, +what +kills +lice +and +eggs,1
phrase,how to kill lice eggs without combing,, +how +to +kill +lice +eggs,1
broad,best choice for head lice to live,, +best +for +head +lice,1
phrase,what's the best head lice treatment,, +best +head +lice +treatment,1
broad,head itching but no lice or eggs,, +head +lice,1
phrase (close variant),is derbac m liquid effective for headlice,, +head +lice,1
broad,head lice hair dryer treatment,, +lice +hair +treatment,1
phrase,hibiscrub for head lice,, +head +lice,1
phrase,head lice natural remedy,, +head +lice,1
phrase,head lice cycle,, +head +lice,1
exact (close variant),head lice repellant,,[head lice repellent],1
broad,does headlice treatment kill the eggs,, +kill +lice,1
exact (close variant),head lice treatment kids,,[head lice treatment for kids],1
broad,head lice treatment you only use once,, +once +head +lice +treatment,1
exact (close variant),best hesdlice treatment,,[best head lice treatment],1
phrase,break the lice life cycle,, +lice +life +cycle,1
broad,best head lice treatment boots,, +best +treatment +head +lice,1
broad,home made head lice defence spray,, +lice +spray,1
broad,best head lice treatment reviews,, +best +treatment +head +lice,1
broad,lice antiseptic shampoo,, +lice +shampoo,1
broad,head lice hairforce in ilford,, +lice +in +hair,1
