Category,Advertiser Currency,Impressions,Clicks,Total Conversions,Post-Click Conversions,Post-View Conversions,Revenue (Adv Currency)
/Autos & Vehicles/Vehicle Brands/Volvo,GBP,35,0,0.00,0.00,0.00,0.274351
/Sports/Team Sports/Hockey,GBP,105,0,0.00,0.00,0.00,0.876629
/World Localities/Latin America/Central America/Mexico/Yucat��n Peninsula/Yucat��n,GBP,3,0,0.00,0.00,0.00,0.041162
/Autos & Vehicles/Vehicle Parts & Accessories/Vehicle Wheels & Tires,GBP,64,0,0.00,0.00,0.00,0.442358
/Beauty & Fitness/Fitness,GBP,37353,14,43.00,0.00,43.00,257.351933
/Food & Drink/Food & Grocery Retailers/Bakeries,GBP,554,0,2.00,0.00,2.00,4.537207
/World Localities/Europe/Central & Eastern Europe/Hungary,GBP,82,0,0.00,0.00,0.00,0.557190
/World Localities/Oceania/New Zealand,GBP,122,1,0.00,0.00,0.00,1.056383
/Autos & Vehicles/Bicycles & Accessories/Cycling Apparel,GBP,3,0,0.00,0.00,0.00,0.024552
/Business & Industrial/Business Operations/Business Plans & Presentations,GBP,500,1,0.00,0.00,0.00,3.758964
/Jobs & Education/Education/Vocational & Continuing Education/Computer Education,GBP,342,1,0.00,0.00,0.00,3.444933
/Autos & Vehicles/Vehicle Brands/Nissan/Infiniti,GBP,10,0,0.00,0.00,0.00,0.071416
/Books & Literature/Writers Resources,GBP,1921,3,0.00,0.00,0.00,16.480995
/Health/Medical Devices & Equipment/Assistive Technology/Mobility Equipment & Accessories,GBP,258,0,0.00,0.00,0.00,1.719605
/Jobs & Education/Jobs/Job Listings/Legal Jobs,GBP,8,0,0.00,0.00,0.00,0.077003
/Reference/Geographic Reference,GBP,9180,4,4.00,0.00,4.00,77.760043
/World Localities/Europe/Western Europe/France/South West France/Aquitaine,GBP,45,0,1.00,0.00,1.00,0.434167
/Online Communities/Online Journals & Personal Sites,GBP,856,2,0.00,0.00,0.00,8.363788
/World Localities/Asia/East Asia/Japan/Chubu/Shizuoka,GBP,3,0,0.00,0.00,0.00,0.032864
/World Localities/Asia/South Asia/Nepal,GBP,27,0,0.00,0.00,0.00,0.202666
/Games/Computer & Video Games/Adventure Games,GBP,272,0,0.00,0.00,0.00,1.722906
/Travel/Tourist Destinations/Historical Sites & Buildings,GBP,5738,3,8.00,0.00,8.00,47.120027
/Business & Industrial/Business Finance/Risk Management,GBP,68,0,0.00,0.00,0.00,0.580683
/Computers & Electronics/Software/Business & Productivity Software/Accounting & Financial Software,GBP,212,0,0.00,0.00,0.00,1.611365
/World Localities/Asia/Central Asia/Turkmenistan,GBP,10,0,0.00,0.00,0.00,0.104305
/Business & Industrial/Chemicals Industry/Dyes & Pigments,GBP,125,0,1.00,0.00,1.00,1.298135
/Shopping/Auctions,GBP,1205,2,0.00,0.00,0.00,9.201084
/World Localities/North America/USA/Florida/Florida Panhandle/Tallahassee,GBP,1,0,0.00,0.00,0.00,0.005009
/Online Communities/Forum & Chat Providers,GBP,68,0,0.00,0.00,0.00,0.576449
/World Localities/Asia/South Asia/Pakistan,GBP,2,0,0.00,0.00,0.00,0.004114
/World Localities/Asia/West Asia/Turkey/Marmara Region,GBP,4,0,0.00,0.00,0.00,0.024445
/World Localities/Europe/Southeastern Europe,GBP,1433,1,1.00,0.00,1.00,12.687192
/World Localities/Europe/Western Europe/Benelux/Netherlands/Amsterdam,GBP,66,0,0.00,0.00,0.00,0.520086
/Arts & Entertainment/Visual Art & Design/Design/Industrial & Product Design,GBP,101,0,0.00,0.00,0.00,0.853714
/Autos & Vehicles/Classic Vehicles,GBP,132,0,0.00,0.00,0.00,0.836057
/Finance/Banking,GBP,12661,14,6.00,0.00,6.00,85.596031
/Health/Health Conditions/Respiratory Conditions/Asthma,GBP,26,0,0.00,0.00,0.00,0.197676
/People & Society/Men's Interests,GBP,452,0,0.00,0.00,0.00,2.483721
/Travel/Luggage & Travel Accessories,GBP,1153,2,2.00,0.00,2.00,11.518970
/World Localities/North America/USA/Southwest (USA)/Arizona,GBP,37,0,0.00,0.00,0.00,0.280958
/World Localities/Asia/South Asia/India/East India,GBP,3,0,0.00,0.00,0.00,0.019975
/World Localities/Europe/Central & Eastern Europe/Germany/North Rhine-Westphalia,GBP,7,0,0.00,0.00,0.00,0.073247
/Autos & Vehicles/Vehicle Brands/Subaru,GBP,17,0,0.00,0.00,0.00,0.115719
/Business & Industrial/Business Operations/Human Resources/Corporate Training,GBP,1522,2,2.00,0.00,2.00,10.943125
/Games/Computer & Video Games/Music & Dance Games,GBP,3,0,0.00,0.00,0.00,0.018228
/Games/Computer & Video Games/Sports Games,GBP,92,0,0.00,0.00,0.00,0.556526
/Science/Ecology & Environment/Climate Change & Global Warming,GBP,310,0,0.00,0.00,0.00,2.166371
/Travel/Specialty Travel/Vineyards & Wine Tourism,GBP,44,0,0.00,0.00,0.00,0.467448
/World Localities/North America/USA/South (USA)/North Carolina,GBP,7,0,0.00,0.00,0.00,0.041257
/People & Society/Religion & Belief/Pagan & Esoteric Traditions,GBP,118,0,2.00,0.00,2.00,0.817421
/World Localities/Asia/South Asia/India/South India/Tamil Nadu,GBP,3,0,0.00,0.00,0.00,0.033364
/Arts & Entertainment/Entertainment Industry/Film & TV Industry,GBP,13686,21,28.00,0.00,28.00,120.256436
/Computers & Electronics/CAD & CAM,GBP,18,0,0.00,0.00,0.00,0.149810
/Health/Nutrition,GBP,35597,31,20.00,0.00,20.00,275.418920
/Law & Government/Legal/Labor & Employment Law,GBP,1188,1,1.00,0.00,1.00,8.891088
/World Localities/Asia/South Asia/Bangladesh,GBP,4,0,0.00,0.00,0.00,0.024589
/World Localities/Asia/South Asia/Sri Lanka,GBP,125,0,0.00,0.00,0.00,1.189175
/World Localities/North America/USA/Midwest (USA)/Illinois,GBP,67,0,0.00,0.00,0.00,0.610908
/Books & Literature/E-Books,GBP,347,1,0.00,0.00,0.00,3.198179
/Food & Drink/Restaurants,GBP,21477,17,50.00,0.00,50.00,176.386970
/Home & Garden/Kitchen & Dining/Major Kitchen Appliances/Kitchen Hoods & Vents,GBP,3,0,0.00,0.00,0.00,0.026185
/Internet & Telecom/Web Services/Affiliate Programs,GBP,38,0,0.00,0.00,0.00,0.255811
/People & Society/Ethnic & Identity Groups/Expatriate Communities,GBP,2343,0,1.00,0.00,1.00,21.550135
/World Localities/Europe/Southeastern Europe/Romania,GBP,4,0,0.00,0.00,0.00,0.040955
/Beauty & Fitness/Body Art,GBP,2938,1,5.00,0.00,5.00,27.191559
/Computers & Electronics/Computer Security,GBP,1282,1,2.00,0.00,2.00,7.566385
/Jobs & Education/Jobs/Job Listings/Education Jobs,GBP,50,0,0.00,0.00,0.00,0.400206
/World Localities/North America/USA/Florida/Southern Florida/Florida Keys,GBP,14,0,0.00,0.00,0.00,0.170664
/Autos & Vehicles/Vehicle Brands/Nissan,GBP,73,0,0.00,0.00,0.00,0.553242
/Computers & Electronics/Consumer Electronics/TV & Video Equipment/Video Players & Recorders,GBP,65,0,0.00,0.00,0.00,0.450977
/Arts & Entertainment/Music & Audio/Music Equipment & Technology/Musical Instruments/Pianos & Keyboards,GBP,105,0,0.00,0.00,0.00,1.091937
/Hobbies & Leisure/Special Occasions/Holidays & Seasonal Events/Christian Holidays/Easter,GBP,339,2,0.00,0.00,0.00,2.839319
/People & Society/Social Sciences/Communications & Media Studies,GBP,646,0,0.00,0.00,0.00,5.209532
/World Localities/North America/USA/Rocky Mountains,GBP,48,0,0.00,0.00,0.00,0.378929
/World Localities/North America/USA/South (USA)/Georgia (USA),GBP,50,0,0.00,0.00,0.00,0.460563
/Arts & Entertainment/Music & Audio/Music Equipment & Technology,GBP,314,0,0.00,0.00,0.00,2.899095
/Food & Drink/Cooking & Recipes/Cuisines/Latin American Cuisine/Mexican Cuisine,GBP,854,1,1.00,0.00,1.00,7.164540
/Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,GBP,9642,7,3.00,0.00,3.00,66.948255
/People & Society/Religion & Belief/Scientology,GBP,382,1,0.00,0.00,0.00,3.412381
/World Localities/Asia/East Asia,GBP,909,1,0.00,0.00,0.00,8.118777
/Food & Drink/Food/Snack Foods,GBP,3183,2,7.00,0.00,7.00,25.919169
/Jobs & Education,GBP,59360,53,25.00,0.00,25.00,445.127244
/Jobs & Education/Education/Vocational & Continuing Education,GBP,428,1,0.00,0.00,0.00,4.014201
/Online Communities/Dating & Personals,GBP,8703,7,3.00,0.00,3.00,73.078749
/World Localities/Asia/East Asia/China/North Central China/Inner Mongolia,GBP,13,0,0.00,0.00,0.00,0.102768
/Autos & Vehicles/Vehicle Parts & Accessories/Auto Exterior,GBP,51,0,0.00,0.00,0.00,0.313201
/Internet & Telecom/Email & Messaging,GBP,2671,4,0.00,0.00,0.00,20.561628
/Travel/Air Travel,GBP,13939,13,7.00,0.00,7.00,115.469413
/World Localities/North America/USA/California/Southern California/Los Angeles,GBP,302,2,0.00,0.00,0.00,2.392377
/Business & Industrial/Transportation & Logistics/Aviation,GBP,2083,3,0.00,0.00,0.00,16.851321
/Computers & Electronics/Computer Hardware,GBP,2240,6,1.00,0.00,1.00,18.048396
/Health/Health Conditions/Arthritis,GBP,428,1,0.00,0.00,0.00,3.102319
/Internet & Telecom/Search Engines,GBP,1005,0,0.00,0.00,0.00,9.105966
/World Localities/Europe/Mediterranean Europe/Spain/Andalucia/C��diz,GBP,2,0,0.00,0.00,0.00,0.007905
/Beauty & Fitness/Fitness/Yoga & Pilates,GBP,2620,0,16.00,0.00,16.00,22.977422
/Books & Literature/Literary Classics,GBP,2428,4,3.00,0.00,3.00,21.487698
/People & Society/Family & Relationships/Family/Parenting,GBP,18654,15,7.00,0.00,7.00,157.401021
/Pets & Animals/Pets/Horses,GBP,286,1,0.00,0.00,0.00,2.315321
/Computers & Electronics/Consumer Electronics/Game Systems & Consoles,GBP,1826,3,0.00,0.00,0.00,11.826406
/Finance/Credit & Lending/Loans/Student Loans & College Financing,GBP,2764,0,0.00,0.00,0.00,17.955860
/Health/Health Conditions/Heart & Hypertension,GBP,1688,1,0.00,0.00,0.00,11.625907
/Online Communities/File Sharing & Hosting,GBP,609,0,2.00,0.00,2.00,3.174994
/Sports,GBP,138950,117,94.00,0.00,94.00,952.155125
/Travel/Tourist Destinations,GBP,27015,22,57.00,1.00,56.00,234.123960
/Beauty & Fitness/Fitness/Gyms & Health Clubs,GBP,1787,0,5.00,0.00,5.00,13.988400
/Food & Drink/Restaurants/Fine Dining,GBP,1131,1,5.00,0.00,5.00,8.405158
/Science/Computer Science/Distributed & Parallel Computing,GBP,40,1,0.00,0.00,0.00,0.293489
/Shopping/Photo & Video Services,GBP,741,0,2.00,0.00,2.00,6.351352
/World Localities/Asia/West Asia,GBP,980,2,1.00,0.00,1.00,8.193395
/World Localities/North America/USA/Hawaii/Big Island (Hawaii),GBP,26,0,0.00,0.00,0.00,0.239013
/People & Society/Family & Relationships/Family/Parenting/Babies & Toddlers,GBP,4318,4,1.00,0.00,1.00,43.832969
/People & Society/Religion & Belief/Spirituality,GBP,529,0,0.00,0.00,0.00,4.223849
/World Localities/Asia/Southeast Asia/Viet Nam,GBP,316,0,1.00,0.00,1.00,2.678207
/Arts & Entertainment/Movies/DVD & Video Shopping,GBP,103,0,0.00,0.00,0.00,0.891931
/Business & Industrial/Agriculture & Forestry/Forestry,GBP,168,0,0.00,0.00,0.00,1.216368
/Food & Drink/Food/Meat & Seafood/Fish & Seafood,GBP,4480,6,2.00,0.00,2.00,36.585982
/Games/Computer & Video Games/Gaming Media & Reference/Game Cheats & Hints,GBP,149,0,0.00,0.00,0.00,0.992195
/Health/Health Conditions/Genetic Disorders,GBP,168,0,0.00,0.00,0.00,1.482146
/Health/Nutrition/Vitamins & Supplements,GBP,3535,4,7.00,0.00,7.00,30.799998
/People & Society/Family & Relationships/Family/Parenting/Child Care,GBP,1300,0,0.00,0.00,0.00,11.065525
/Sports/Sports Coaching & Training,GBP,132,0,0.00,0.00,0.00,0.953285
/World Localities/Latin America/South America/Chile/Santiago,GBP,1,0,0.00,0.00,0.00,0.005447
/World Localities/Latin America/South America/Colombia/Bogota,GBP,3,0,0.00,0.00,0.00,0.016803
/World Localities/North America/USA/Florida/Southern Florida/South Florida Metro/Broward-Fort Lauderdale,GBP,5,0,0.00,0.00,0.00,0.035084
/Books & Literature/Fan Fiction,GBP,155,0,0.00,0.00,0.00,1.603825
/Business & Industrial/Transportation & Logistics/Freight & Trucking,GBP,90,0,0.00,0.00,0.00,0.684877
/Health/Health Conditions/Cancer,GBP,4155,7,2.00,0.00,2.00,28.512992
/Jobs & Education/Education,GBP,28133,25,13.00,0.00,13.00,203.367298
/World Localities/Latin America/Caribbean/Dominica,GBP,1,0,0.00,0.00,0.00,0.004594
/Arts & Entertainment/Music & Audio/Music Equipment & Technology/DJ Resources & Equipment,GBP,29,0,0.00,0.00,0.00,0.315361
/Computers & Electronics/Networking/VPN & Remote Access,GBP,72,0,0.00,0.00,0.00,0.503166
/World Localities/Europe/Mediterranean Europe/Italy/Lombardy,GBP,197,0,0.00,0.00,0.00,1.449966
/Business & Industrial/Construction & Maintenance/Building Materials & Supplies,GBP,1340,0,1.00,0.00,1.00,11.649867
/Home & Garden/Home Appliances,GBP,306,0,0.00,0.00,0.00,2.881154
/World Localities/Europe/Western Europe/United Kingdom/England/Yorkshire/Leeds-Bradford,GBP,13,0,0.00,0.00,0.00,0.158118
/World Localities/North America/USA/Rocky Mountains/Idaho,GBP,3,0,0.00,0.00,0.00,0.022895
/World Localities/Oceania/New Zealand/Auckland,GBP,3,0,0.00,0.00,0.00,0.020546
/Food & Drink/Food,GBP,66666,74,59.00,0.00,59.00,529.643210
/Health/Medical Facilities & Services/Medical Procedures/Surgery,GBP,663,0,0.00,0.00,0.00,5.510199
/World Localities/Asia/West Asia/Jordan,GBP,16,1,0.00,0.00,0.00,0.165942
/World Localities/Europe/Mediterranean Europe/Italy/Lazio/Rome,GBP,231,0,2.00,0.00,2.00,1.761045
/World Localities/North America/Canada/Quebec,GBP,55,0,0.00,0.00,0.00,0.539387
/Arts & Entertainment/Movies/Action & Adventure Films,GBP,3003,3,0.00,0.00,0.00,24.285083
/World Localities/North America/USA/Great Plains (USA)/Nebraska,GBP,29,0,0.00,0.00,0.00,0.084320
/World Localities/North America/USA/Mid-Atlantic (USA)/New York State/Rochester-Finger Lakes,GBP,1,0,0.00,0.00,0.00,0.010041
/World Localities/North America/USA/Midwest (USA)/Ohio/Greater Cleveland,GBP,6,0,0.00,0.00,0.00,0.043013
/World Localities/North America/USA/New England/Rhode Island,GBP,7,0,0.00,0.00,0.00,0.062426
/World Localities/North America/USA/Rocky Mountains/Colorado,GBP,30,0,0.00,0.00,0.00,0.225339
/Arts & Entertainment/TV & Video/TV Shows & Programs/TV Reality Shows,GBP,22255,23,11.00,0.00,11.00,135.265625
/Finance/Investing/Funds/Hedge Funds,GBP,554,1,3.00,0.00,3.00,4.964313
/People & Society/Family & Relationships/Family,GBP,20695,18,9.00,0.00,9.00,176.373410
/World Localities/Asia/Southeast Asia/Thailand/Southern Thailand/Phuket,GBP,20,0,0.00,0.00,0.00,0.203400
/World Localities/Europe/Western Europe/France/East France/Alsace,GBP,4,0,0.00,0.00,0.00,0.034662
/World Localities/Europe/Western Europe/United Kingdom/England/West Midlands/Birmingham (UK),GBP,15,0,0.00,0.00,0.00,0.082094
/World Localities/Latin America/Central America/Mexico/Yucat��n Peninsula,GBP,69,0,0.00,0.00,0.00,0.673006
/World Localities/North America/USA/California/Sacramento Valley,GBP,3,0,0.00,0.00,0.00,0.014380
/Games/Board Games/Miniatures & Wargaming,GBP,19,0,0.00,0.00,0.00,0.122112
/Jobs & Education/Jobs/Job Listings/Health & Medical Jobs,GBP,34,0,0.00,0.00,0.00,0.246852
/People & Society/Social Issues & Advocacy/Housing & Development,GBP,1345,1,0.00,0.00,0.00,10.396580
/Computers & Electronics/Computer Hardware/Computer Components/Sound & Video Cards,GBP,28,0,0.00,0.00,0.00,0.194954
/Home & Garden/Kitchen & Dining/Major Kitchen Appliances,GBP,861,2,0.00,0.00,0.00,7.546593
/Online Communities/Photo & Video Sharing/Video Sharing,GBP,18,0,0.00,0.00,0.00,0.154804
/Sports/College Sports,GBP,128,1,0.00,0.00,0.00,1.018079
/Arts & Entertainment/Music & Audio/CD & Audio Shopping,GBP,130,0,1.00,0.00,1.00,1.129124
/Business & Industrial/Industrial Materials & Equipment/Fluid Handling,GBP,10,0,0.00,0.00,0.00,0.070850
/Computers & Electronics/Consumer Electronics/Car Electronics/Car Audio,GBP,9,0,0.00,0.00,0.00,0.083555
/Law & Government/Government/State & Local Government,GBP,2567,2,2.00,0.00,2.00,19.770606
/Computers & Electronics/Computer Hardware/Desktop Computers,GBP,107,0,0.00,0.00,0.00,0.891933
/Computers & Electronics/Consumer Electronics/TV & Video Equipment/Projectors & Screens,GBP,14,0,0.00,0.00,0.00,0.091259
/Computers & Electronics/Consumer Electronics/TV & Video Equipment/Televisions/HDTVs,GBP,64,0,0.00,0.00,0.00,0.425860
/Food & Drink/Cooking & Recipes/Cuisines,GBP,16461,7,19.00,0.00,19.00,131.277853
/People & Society/Women's Interests,GBP,4134,1,3.00,0.00,3.00,35.108536
/Autos & Vehicles/Vehicle Brands/Toyota/Scion,GBP,30,0,0.00,0.00,0.00,0.168560
/Shopping/Toys/Action Figures,GBP,39,0,0.00,0.00,0.00,0.285294
/World Localities/Asia/Southeast Asia/Thailand/Southern Thailand,GBP,204,0,1.00,0.00,1.00,2.444958
/Computers & Electronics/Consumer Electronics/TV & Video Equipment/Home Theater Systems,GBP,9,0,0.00,0.00,0.00,0.075170
/People & Society/Religion & Belief/Christianity,GBP,4575,10,5.00,0.00,5.00,37.796093
/World Localities/Asia/East Asia/China/Southwest China,GBP,5,0,0.00,0.00,0.00,0.046017
/Computers & Electronics/Computer Hardware/Computer Drives & Storage/Data Backup & Recovery,GBP,85,0,0.00,0.00,0.00,0.631564
/Computers & Electronics/Consumer Electronics/TV & Video Equipment/Video Players & Recorders/Blu-Ray Players & Recorders,GBP,11,0,0.00,0.00,0.00,0.065706
/Food & Drink/Cooking & Recipes/Healthy Eating,GBP,2178,1,1.00,0.00,1.00,15.617549
/Home & Garden/Nursery & Playroom,GBP,296,0,0.00,0.00,0.00,2.781998
/World Localities/Europe/Western Europe/France/West France/Brittany,GBP,4,0,0.00,0.00,0.00,0.025011
/World Localities/Europe/Western Europe/United Kingdom/Scotland,GBP,1134,1,4.00,0.00,4.00,9.059492
/Business & Industrial/Energy & Utilities/Renewable & Alternative Energy,GBP,482,2,0.00,0.00,0.00,3.735802
/Computers & Electronics/Electronics & Electrical,GBP,404,0,0.00,0.00,0.00,3.390079
/Food & Drink/Cooking & Recipes/Cuisines/Eastern European Cuisine,GBP,21,0,0.00,0.00,0.00,0.204887
/Food & Drink/Cooking & Recipes/Cuisines/Vegetarian Cuisine,GBP,3821,1,2.00,0.00,2.00,30.841091
/Games/Computer & Video Games/Driving & Racing Games,GBP,52,0,0.00,0.00,0.00,0.320315
/World Localities/Asia/East Asia/Japan/Kanto/Tokyo,GBP,184,0,0.00,0.00,0.00,1.755329
/Beauty & Fitness/Weight Loss,GBP,41655,24,28.00,0.00,28.00,301.247314
/Business & Industrial/Chemicals Industry/Cleaning Agents,GBP,46,0,0.00,0.00,0.00,0.575480
/Shopping/Consumer Resources/Customer Services/Warranties & Service Contracts,GBP,199,0,1.00,0.00,1.00,1.305029
/Sports/Sporting Goods/Combat Sports Equipment,GBP,146,0,2.00,0.00,2.00,0.904016
/World Localities/Africa/Western Africa/Nigeria/Lagos,GBP,3,0,0.00,0.00,0.00,0.015950
/World Localities/North America/USA/New England/New Hampshire,GBP,1,0,0.00,0.00,0.00,0.010000
/Health/Substance Abuse/Drug & Alcohol Testing,GBP,4,0,0.00,0.00,0.00,0.037688
/Online Communities/Online Goodies/Social Network Apps & Add-Ons,GBP,579,1,0.00,0.00,0.00,4.893018
/Health/Public Health/Poisons & Overdoses,GBP,222,1,0.00,0.00,0.00,2.006441
/World Localities/Latin America/South America/Brazil/Southeast Brazil/Rio de Janeiro,GBP,61,0,0.00,0.00,0.00,0.556046
/World Localities/Europe/Central & Eastern Europe/Eastern Europe/Ukraine,GBP,19,0,0.00,0.00,0.00,0.148113
/Business & Industrial/Industrial Materials & Equipment,GBP,222,0,0.00,0.00,0.00,1.568486
/People & Society/Social Issues & Advocacy/Privacy Issues,GBP,15,0,0.00,0.00,0.00,0.104228
/Reference/Technical Reference,GBP,45,0,0.00,0.00,0.00,0.301000
/Sports/Sporting Goods/Roller Skating & Rollerblading Equipment,GBP,5,0,0.00,0.00,0.00,0.017065
/World Localities/Asia/Southeast Asia/Indonesia/Nusa Tenggara/Bali,GBP,55,0,4.00,0.00,4.00,0.621015
/World Localities/North America/USA,GBP,9645,10,10.00,0.00,10.00,81.950861
/World Localities/North America/USA/Mid-Atlantic (USA)/New Jersey,GBP,15,0,0.00,0.00,0.00,0.168263
/Arts & Entertainment/Music & Audio/World Music/African Music,GBP,62,1,0.00,0.00,0.00,0.526811
/Science/Ecology & Environment,GBP,2203,1,0.00,0.00,0.00,16.872698
/Sports/Sporting Goods,GBP,1157,1,13.00,0.00,13.00,11.066791
/Sports/Winter Sports/Skiing & Snowboarding,GBP,478,0,2.00,0.00,2.00,3.248487
/World Localities/Oceania/Pacific Islands/Micronesia,GBP,2,0,0.00,0.00,0.00,0.020033
/People & Society/Ethnic & Identity Groups/Eastern Europeans,GBP,28,0,0.00,0.00,0.00,0.280670
/Travel/Travel Agencies & Services/Tourist Boards & Visitor Centers,GBP,48,0,0.00,0.00,0.00,0.424384
/World Localities/Europe/Mediterranean Europe/Italy/Piedmont,GBP,5,0,0.00,0.00,0.00,0.056090
/World Localities/Latin America/South America/Peru/Lima,GBP,42,0,0.00,0.00,0.00,0.419763
/Computers & Electronics/Computer Hardware/Computer Peripherals,GBP,291,0,0.00,0.00,0.00,2.540086
/Business & Industrial/Energy & Utilities,GBP,5189,6,1.00,0.00,1.00,37.800731
/Business & Industrial/Small Business/Business Formation,GBP,937,1,0.00,0.00,0.00,7.809645
/Shopping/Discount & Outlet Stores,GBP,194,0,0.00,0.00,0.00,1.913386
/Sports/Sporting Goods/Hockey Equipment,GBP,13,0,0.00,0.00,0.00,0.104652
/World Localities/Europe/Central & Eastern Europe/Eastern Europe/Belarus,GBP,5,0,0.00,0.00,0.00,0.031629
/World Localities/North America/USA/South (USA)/South Carolina/Upstate South Carolina,GBP,4,0,0.00,0.00,0.00,0.026194
/Food & Drink/Cooking & Recipes/Cuisines/East Asian Cuisine/Japanese Cuisine,GBP,436,0,2.00,0.00,2.00,3.441490
/Food & Drink/Cooking & Recipes/Cuisines/Middle Eastern Cuisine,GBP,655,0,1.00,0.00,1.00,4.548748
/Online Communities/Dating & Personals/Matrimonial Services,GBP,531,1,1.00,0.00,1.00,3.843934
/World Localities/Europe/Western Europe/France/��le-de-France,GBP,768,1,3.00,0.00,3.00,6.618239
/Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons,GBP,4383,4,0.00,0.00,0.00,35.098677
/Online Communities/Online Goodies/Skins Themes & Wallpapers,GBP,421,1,0.00,0.00,0.00,3.747780
/Arts & Entertainment/Movies/Classic Films,GBP,1683,4,0.00,0.00,0.00,17.633111
/Finance/Financial Planning & Management,GBP,18669,11,6.00,0.00,6.00,124.712013
/Health/Medical Facilities & Services/Hospitals & Treatment Centers,GBP,1091,3,0.00,0.00,0.00,8.120053
/World Localities/Africa/Northern Africa/Egypt,GBP,38,0,0.00,0.00,0.00,0.284868
/Pets & Animals/Pets/Fish & Aquaria,GBP,120,0,0.00,0.00,0.00,1.089569
/World Localities/Europe/Mediterranean Europe/Spain/Andalucia,GBP,109,0,1.00,0.00,1.00,1.077218
/Law & Government/Military/Army,GBP,153,0,0.00,0.00,0.00,1.368514
/Autos & Vehicles/Vehicle Brands/Lamborghini,GBP,30,0,0.00,0.00,0.00,0.225821
/Autos & Vehicles/Vehicle Brands/Maserati,GBP,6,0,0.00,0.00,0.00,0.035971
/Finance/Investing/Funds/Mutual Funds,GBP,120,0,0.00,0.00,0.00,0.652091
/Games/Card Games/Collectible Card Games,GBP,603,1,0.00,0.00,0.00,4.041944
/Health/Alternative & Natural Medicine,GBP,1677,1,1.00,0.00,1.00,16.713038
/Sports/Sporting Goods/Winter Sports Equipment/Skiing Equipment,GBP,527,1,10.00,0.00,10.00,5.958871
/World Localities/Europe/Western Europe/Benelux/Belgium/Brussels,GBP,10,0,0.00,0.00,0.00,0.083153
/Arts & Entertainment/Performing Arts/Magic,GBP,164,0,0.00,0.00,0.00,1.318489
/Home & Garden/Kitchen & Dining/Small Kitchen Appliances,GBP,3573,1,1.00,0.00,1.00,28.432417
/World Localities/North America/Canada/Quebec/Montreal,GBP,45,0,0.00,0.00,0.00,0.466588
/Arts & Entertainment/Visual Art & Design/Photographic & Digital Arts,GBP,3021,4,5.00,0.00,5.00,28.453786
/Travel/Hotels & Accommodations,GBP,30274,23,79.00,0.00,79.00,259.066933
/World Localities/Europe/Central & Eastern Europe/Czech Republic,GBP,240,0,0.00,0.00,0.00,1.861130
/Autos & Vehicles/Vehicle Brands/Chrysler,GBP,37,0,0.00,0.00,0.00,0.231431
/Health/Health Conditions/GERD & Digestive Disorders,GBP,2287,1,2.00,0.00,2.00,14.522022
/World Localities/Africa/Eastern Africa/Malawi,GBP,48,0,0.00,0.00,0.00,0.329551
/World Localities/Asia/South Asia/India/West India/Rajasthan,GBP,51,0,0.00,0.00,0.00,0.470133
/World Localities/Europe/Southeastern Europe/Greece/Aegean Islands,GBP,8,0,0.00,0.00,0.00,0.067003
/Business & Industrial/Business Finance,GBP,4342,1,4.00,0.00,4.00,37.988832
/Business & Industrial/Business Services/E-Commerce Services,GBP,993,2,0.00,0.00,0.00,8.219021
/Arts & Entertainment/Events & Listings/Food & Beverage Events,GBP,94,0,0.00,0.00,0.00,0.787850
/Finance/Investing/Brokerages & Day Trading,GBP,328,2,1.00,0.00,1.00,2.290947
/Games/Computer & Video Games/Simulation Games/Business & Tycoon Games,GBP,94,0,0.00,0.00,0.00,0.768463
/World Localities/Oceania/Pacific Islands,GBP,23,1,0.00,0.00,0.00,0.197047
/Arts & Entertainment/Celebrities & Entertainment News,GBP,271393,314,299.00,1.00,298.00,2195.839648
/Home & Garden/Home Improvement/Roofing,GBP,80,0,0.00,0.00,0.00,0.596993
/Sports/Sporting Goods/Table Tennis Equipment,GBP,1,0,0.00,0.00,0.00,0.012727
/World Localities/Asia/West Asia/Turkey/Black Sea Turkey,GBP,1,0,0.00,0.00,0.00,0.008223
/World Localities/Europe/Western Europe/Benelux/Netherlands,GBP,265,0,0.00,0.00,0.00,2.290016
/World Localities/Latin America/Central America/Mexico/Central Mexico,GBP,9,0,0.00,0.00,0.00,0.074595
/Arts & Entertainment/Movies/Animated Films,GBP,1882,2,0.00,0.00,0.00,17.601997
/Arts & Entertainment/Music & Audio/Soundtracks,GBP,233,1,0.00,0.00,0.00,2.023660
/Games/Online Games/Massive Multiplayer,GBP,208,0,0.00,0.00,0.00,1.435276
/World Localities/North America/Canada,GBP,212,0,0.00,0.00,0.00,1.793842
"/Computers & Electronics/Computer Hardware/Computer Peripherals/Printers, Copiers & Fax/Fax Machines",GBP,12,0,0.00,0.00,0.00,0.132550
/Health/Alternative & Natural Medicine/Cleansing & Detoxification,GBP,869,0,0.00,0.00,0.00,8.840601
/Real Estate/Property Management,GBP,645,0,1.00,0.00,1.00,4.340363
/Reference/General Reference,GBP,37130,24,7.00,0.00,7.00,305.337563
/World Localities/North America/USA/Florida/Southern Florida,GBP,103,0,0.00,0.00,0.00,0.857627
