Row Labels,Targeting,Recency,Sum of Viewability,Sum of Active View: Measurable Impressions,Sum of Active View: Viewable Impressions,Sum of Impressions,Sum of Quotes,Sum of Spend,Viewgroup
Car homepage__O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_Car Homepage_P7T5VY_VIVAKI AOD_Retargeting_NULL_728 x 90,Car homepage,,0.153732446,6765,1040,6995,3,16.595581,-30%
Car homepage__O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_Car Homepage_P7T5VZ_VIVAKI AOD_Retargeting_NULL_300 x 250,Car homepage,,0.153538051,1498,230,1522,,3.649264,-30%
Car homepage__O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_Car Homepage_P7B0R9_VIVAKI AOD_Desktop Retargeting_NULL_728 x 90,Car homepage,,0.139721501,4237,592,4346,1,10.423733,-30%
Car homepage__O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_Car Homepage_P7B0R6_VIVAKI AOD_Desktop Retargeting_NULL_300 x 250,Car homepage,,0.05965203,1207,72,1212,,2.986411,-30%
Car homepage__O-CV5S_Aviva_UK_AD_2016_Jan_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_AV >60%_P6H335_VIVAKI AOD_Desktop_300 x 250,Car homepage,,#DIV/0!,0,0,0,1,0,#DIV/0!
Car homepage__O-CV5S_Aviva_UK_AD_2016_Jan_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_P6H338_VIVAKI AOD_Desktop_728 x 90,Car homepage,,#DIV/0!,0,0,0,2,0,#DIV/0!
Car homepage__O-CV5S_Aviva_UK_AD_2016_Jan_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_AV >60%_P6H338_VIVAKI AOD_Desktop_728 x 90,Car homepage,,#DIV/0!,0,0,0,1,0,#DIV/0!
Car homepage__O-CV5S_Aviva_UK_AD_2016_Jan_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_IAS Top 35%_P6H338_VIVAKI AOD_Desktop_728 x 90,Car homepage,,#DIV/0!,0,0,0,2,0,#DIV/0!
End quote_10 mins_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo Homepage_End Quote_10 minutes_P7B0R6_VIVAKI AOD_Desktop Retargeting_NULL_300 x 250,End quote,10 mins,0.890666667,750,668,755,1,3.192637,70%+
End quote_10 mins_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 10 minutes_P95QJL_VIVAKI AOD_RON_Retargeting_300 x 250,End quote,10 mins,0.880597015,469,413,481,4,3.370936,70%+
End quote_10 mins_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_End Quote_10 minutes_P7B0R6_VIVAKI AOD_Desktop Retargeting_NULL_300 x 250,End quote,10 mins,0.870274914,2328,2026,2359,37,13.563354,70%+
End quote_10 mins_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_End Quote_10 minutes_P87QGW_VIVAKI AOD_Retargeting_160 x 600,End quote,10 mins,0.870208105,1826,1589,1867,27,9.937866,70%+
End quote_10 mins_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_End Quote_10 minutes_P7B0RC_VIVAKI AOD_Desktop Retargeting_NULL_160 x 600,End quote,10 mins,0.86746988,1577,1368,1602,27,7.73178,70%+
End quote_10 mins_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo Homepage_End Quote_10 minutes_P7B0RC_VIVAKI AOD_Desktop Retargeting_NULL_160 x 600,End quote,10 mins,0.864693446,473,409,480,6,1.847397,70%+
End quote_10 mins_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo Homepage_End Quote_10 minutes_P8TKF1_VIVAKI AOD_Retargeting_Desktop_300 x 250,End quote,10 mins,0.845856846,3367,2848,3433,61,15.299159,70%+
End quote_10 mins_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 10 minutes_P7B0RC_VIVAKI AOD_Desktop Retargeting_NULL_160 x 600,End quote,10 mins,0.838465694,5553,4656,5721,142,51.699429,70%+
End quote_10 mins_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_End Quote_10 minutes_P95QJN_VIVAKI AOD_RON_Retargeting_160 x 600,End quote,10 mins,0.837304848,1217,1019,1286,26,5.825659,70%+
End quote_10 mins_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo Homepage_End Quote_10 minutes_P95QJL_VIVAKI AOD_RON_Retargeting_300 x 250,End quote,10 mins,0.836217949,3120,2609,3193,55,14.458339,70%+
End quote_10 mins_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_End Quote_10 minutes_P87QGT_VIVAKI AOD_Retargeting_300 x 250,End quote,10 mins,0.832985386,3832,3192,3892,58,18.141835,70%+
End quote_10 mins_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_End Quote_10 minutes_P7T5W0_VIVAKI AOD_Retargeting_NULL_160 x 600,End quote,10 mins,0.831705916,1741,1448,1784,21,8.278902,70%+
End quote_10 mins_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_End Quote_10 minutes_P8TKF3_VIVAKI AOD_Retargeting_Desktop_160 x 600,End quote,10 mins,0.831178161,1392,1157,1414,31,6.47055,70%+
End quote_10 mins_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_End Quote_10 minutes_P8TKF1_VIVAKI AOD_Retargeting_Desktop_300 x 250,End quote,10 mins,0.830981687,3331,2768,3383,43,17.584697,70%+
End quote_10 mins_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo Homepage_End Quote_10 minutes_P8TKF3_VIVAKI AOD_Retargeting_Desktop_160 x 600,End quote,10 mins,0.830845771,1407,1169,1435,33,4.954567,70%+
End quote_10 mins_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 10 minutes_P7T5W0_VIVAKI AOD_Retargeting_NULL_160 x 600,End quote,10 mins,0.830357143,5712,4743,5803,160,53.386804,70%+
End quote_10 mins_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_End Quote_10 minutes_P95QJL_VIVAKI AOD_RON_Retargeting_300 x 250,End quote,10 mins,0.829955668,3158,2621,3209,54,16.799296,70%+
End quote_10 mins_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo Homepage_End Quote_10 minutes_P95QJN_VIVAKI AOD_RON_Retargeting_160 x 600,End quote,10 mins,0.829307568,1242,1030,1287,18,4.71554,70%+
End quote_10 mins_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 10 minutes_P8TKF1_VIVAKI AOD_Retargeting_Desktop_300 x 250,End quote,10 mins,0.82037037,540,443,556,12,4.035239,70%+
End quote_10 mins_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_End Quote_10 minutes_P7T5VY_VIVAKI AOD_Retargeting_NULL_728 x 90,End quote,10 mins,0.818181818,22,18,22,,0.12544,70%+
End quote_10 mins_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo Homepage_End Quote_10 minutes_P87QGT_VIVAKI AOD_Retargeting_300 x 250,End quote,10 mins,0.816216216,925,755,943,9,3.930555,70%+
End quote_10 mins_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_End Quote_10 minutes_P7T5VZ_VIVAKI AOD_Retargeting_NULL_300 x 250,End quote,10 mins,0.813386686,2749,2236,2795,30,14.679974,70%+
End quote_10 mins_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo Homepage_End Quote_10 minutes_P87QGW_VIVAKI AOD_Retargeting_160 x 600,End quote,10 mins,0.810888252,349,283,354,4,3.108135,70%+
End quote_10 mins_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 10 minutes_P87QGW_VIVAKI AOD_Retargeting_160 x 600,End quote,10 mins,0.807712766,7520,6074,7666,232,72.265442,70%+
End quote_10 mins_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 10 minutes_P95QJN_VIVAKI AOD_RON_Retargeting_160 x 600,End quote,10 mins,0.807214307,6598,5326,6723,157,62.956221,70%+
End quote_10 mins_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 10 minutes_P8TKF3_VIVAKI AOD_Retargeting_Desktop_160 x 600,End quote,10 mins,0.803921569,8109,6519,8240,209,76.44832,70%+
End quote_10 mins_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 10 minutes_P87QGT_VIVAKI AOD_Retargeting_300 x 250,End quote,10 mins,0.783365571,517,405,542,13,3.850275,70%+
End quote_10 mins_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 10 minutes_P7T5VZ_VIVAKI AOD_Retargeting_NULL_300 x 250,End quote,10 mins,0.728813559,531,387,547,6,4.043708,70%+
End quote_10 mins_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 10 minutes_P95QJL_VIVAKI AOD_RON_Retargeting_300 x 250,End quote,10 mins,0.725685786,802,582,826,13,5.156303,70%+
End quote_10 mins_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 10 minutes_P87QGT_VIVAKI AOD_Retargeting_300 x 250,End quote,10 mins,0.696194635,1603,1116,1640,88,9.211719,60%+
End quote_10 mins_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 10 minutes_P7T5VZ_VIVAKI AOD_Retargeting_NULL_300 x 250,End quote,10 mins,0.649180328,610,396,669,17,4.851522,60%+
End quote_10 mins_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 10 minutes_P7B0R6_VIVAKI AOD_Desktop Retargeting_NULL_300 x 250,End quote,10 mins,0.641791045,1005,645,1099,25,8.17446,60%+
End quote_10 mins_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 10 minutes_P8TKF1_VIVAKI AOD_Retargeting_Desktop_300 x 250,End quote,10 mins,0.622464899,641,399,664,19,3.324807,60%+
End quote_10 mins_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 10 minutes_P87QGW_VIVAKI AOD_Retargeting_160 x 600,End quote,10 mins,0.617036011,2888,1782,2920,49,13.444687,60%+
End quote_10 mins_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 10 minutes_P87QGT_VIVAKI AOD_Retargeting_300 x 250,End quote,10 mins,0.612012987,616,377,682,14,4.923939,60%+
End quote_10 mins_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 10 minutes_P95QJN_VIVAKI AOD_RON_Retargeting_160 x 600,End quote,10 mins,0.609418283,361,220,365,2,1.670227,60%+
End quote_10 mins_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 10 minutes_P95QJL_VIVAKI AOD_RON_Retargeting_300 x 250,End quote,10 mins,0.603427173,817,493,885,23,6.700411,60%+
End quote_10 mins_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 10 minutes_P8TKF3_VIVAKI AOD_Retargeting_Desktop_160 x 600,End quote,10 mins,0.592814371,334,198,334,16,1.402233,50%+
End quote_10 mins_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 10 minutes_P7B0RC_VIVAKI AOD_Desktop Retargeting_NULL_160 x 600,End quote,10 mins,0.586229725,3021,1771,3053,46,12.783205,50%+
End quote_10 mins_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_End Quote_10 minutes_P7B0R9_VIVAKI AOD_Desktop Retargeting_NULL_728 x 90,End quote,10 mins,0.583333333,12,7,12,,0.100933,50%+
End quote_10 mins_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 10 minutes_P7T5VY_VIVAKI AOD_Retargeting_NULL_728 x 90,End quote,10 mins,0.58319739,1226,715,1344,34,9.794552,50%+
End quote_10 mins_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 10 minutes_P7T5VZ_VIVAKI AOD_Retargeting_NULL_300 x 250,End quote,10 mins,0.582025678,701,408,736,21,5.213882,50%+
End quote_10 mins_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 10 minutes_P7B0R6_VIVAKI AOD_Desktop Retargeting_NULL_300 x 250,End quote,10 mins,0.581469649,626,364,641,22,3.803664,50%+
End quote_10 mins_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 10 minutes_P7T5W0_VIVAKI AOD_Retargeting_NULL_160 x 600,End quote,10 mins,0.581286913,3217,1870,3274,64,14.577711,50%+
End quote_10 mins_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 10 minutes_P87QGW_VIVAKI AOD_Retargeting_160 x 600,End quote,10 mins,0.578947368,741,429,752,11,3.494396,50%+
End quote_10 mins_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 10 minutes_P95QJM_VIVAKI AOD_RON_Retargeting_728 x 90,End quote,10 mins,0.572261072,858,491,935,29,7.246698,50%+
End quote_10 mins_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 10 minutes_P7B0RC_VIVAKI AOD_Desktop Retargeting_NULL_160 x 600,End quote,10 mins,0.565749235,327,185,327,13,1.374969,50%+
End quote_10 mins_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 10 minutes_P7T5W0_VIVAKI AOD_Retargeting_NULL_160 x 600,End quote,10 mins,0.562913907,302,170,308,4,2.218961,50%+
End quote_10 mins_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 10 minutes_P8TKF1_VIVAKI AOD_Retargeting_Desktop_300 x 250,End quote,10 mins,0.557719054,719,401,807,17,5.888649,50%+
End quote_10 mins_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_End Quote_10 minutes_P95QJM_VIVAKI AOD_RON_Retargeting_728 x 90,End quote,10 mins,0.555555556,9,5,10,,0.044544,50%+
End quote_10 mins_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 10 minutes_P8TKF3_VIVAKI AOD_Retargeting_Desktop_160 x 600,End quote,10 mins,0.548154815,2222,1218,2242,32,12.624366,50%+
End quote_10 mins_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 10 minutes_P87QGT_VIVAKI AOD_Retargeting_300 x 250,End quote,10 mins,0.542432432,3700,2007,3758,58,17.816147,50%+
End quote_10 mins_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 10 minutes_P7B0R9_VIVAKI AOD_Desktop Retargeting_NULL_728 x 90,End quote,10 mins,0.534108527,1290,689,1409,31,10.492824,50%+
End quote_10 mins_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 10 minutes_P7T5VZ_VIVAKI AOD_Retargeting_NULL_300 x 250,End quote,10 mins,0.529442971,3770,1996,3875,80,19.183773,50%+
End quote_10 mins_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 10 minutes_P87QGV_VIVAKI AOD_Retargeting_728 x 90,End quote,10 mins,0.512580877,1391,713,1541,51,11.315562,50%+
End quote_10 mins_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 10 minutes_P8TKF2_VIVAKI AOD_Retargeting_Desktop_728 x 90,End quote,10 mins,0.500401606,1245,623,1403,25,10.11643,50%+
End quote_10 mins_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 10 minutes_P7B0R9_VIVAKI AOD_Desktop Retargeting_NULL_728 x 90,End quote,10 mins,0.49963951,1387,693,1399,34,6.527235,40%+
End quote_10 mins_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 10 minutes_P7B0R6_VIVAKI AOD_Desktop Retargeting_NULL_300 x 250,End quote,10 mins,0.493702771,397,196,409,5,3.149531,40%+
End quote_10 mins_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_End Quote_10 minutes_P87QGV_VIVAKI AOD_Retargeting_728 x 90,End quote,10 mins,0.473684211,57,27,58,,0.44454,40%+
End quote_10 mins_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 10 minutes_P95QJN_VIVAKI AOD_RON_Retargeting_160 x 600,End quote,10 mins,0.46132848,2198,1014,2218,21,11.263261,40%+
End quote_10 mins_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 10 minutes_P95QJL_VIVAKI AOD_RON_Retargeting_300 x 250,End quote,10 mins,0.450180072,3332,1500,3443,60,21.559173,40%+
End quote_10 mins_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 10 minutes_P8TKF3_VIVAKI AOD_Retargeting_Desktop_160 x 600,End quote,10 mins,0.448858833,1183,531,1214,12,6.451299,40%+
End quote_10 mins_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 10 minutes_P7B0R6_VIVAKI AOD_Desktop Retargeting_NULL_300 x 250,End quote,10 mins,0.429029671,2494,1070,2587,51,13.624462,40%+
End quote_10 mins_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 10 minutes_P8TKF1_VIVAKI AOD_Retargeting_Desktop_300 x 250,End quote,10 mins,0.42836829,2813,1205,2885,61,17.330424,40%+
End quote_10 mins_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 10 minutes_P87QGW_VIVAKI AOD_Retargeting_160 x 600,End quote,10 mins,0.419729207,1034,434,1069,17,5.149549,40%+
End quote_10 mins_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 10 minutes_P95QJN_VIVAKI AOD_RON_Retargeting_160 x 600,End quote,10 mins,0.411184211,1216,500,1246,22,5.878227,40%+
End quote_10 mins_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 10 minutes_P7T5W0_VIVAKI AOD_Retargeting_NULL_160 x 600,End quote,10 mins,0.407497963,1227,500,1261,16,5.682133,40%+
End quote_10 mins_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_End Quote_10 minutes_P8TKF2_VIVAKI AOD_Retargeting_Desktop_728 x 90,End quote,10 mins,0.4,5,2,5,,0.015354,30%+
End quote_10 mins_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 10 minutes_P7B0R9_VIVAKI AOD_Desktop Retargeting_NULL_728 x 90,End quote,10 mins,0.379966611,2995,1138,3010,68,15.667577,30%+
End quote_10 mins_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 10 minutes_P87QGV_VIVAKI AOD_Retargeting_728 x 90,End quote,10 mins,0.373778758,3173,1186,3194,75,16.421735,30%+
End quote_10 mins_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 10 minutes_P7T5VY_VIVAKI AOD_Retargeting_NULL_728 x 90,End quote,10 mins,0.368868542,3058,1128,3074,72,16.449196,30%+
End quote_10 mins_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 10 minutes_P7T5VY_VIVAKI AOD_Retargeting_NULL_728 x 90,End quote,10 mins,0.359668508,1810,651,1845,31,10.972553,30%+
End quote_10 mins_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 10 minutes_P95QJM_VIVAKI AOD_RON_Retargeting_728 x 90,End quote,10 mins,0.346403,2933,1016,2960,41,17.17098,30%+
End quote_10 mins_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 10 minutes_P8TKF2_VIVAKI AOD_Retargeting_Desktop_728 x 90,End quote,10 mins,0.344878957,2685,926,2720,79,16.178303,30%+
End quote_10 mins_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo Homepage_End Quote_10 minutes_P8TKF2_VIVAKI AOD_Retargeting_Desktop_728 x 90,End quote,10 mins,0.333333333,6,2,6,,0.014638,30%+
End quote_10 mins_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 10 minutes_P95QJM_VIVAKI AOD_RON_Retargeting_728 x 90,End quote,10 mins,0.326461927,2377,776,2384,61,15.166598,30%+
End quote_10 mins_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 10 minutes_P7B0RC_VIVAKI AOD_Desktop Retargeting_NULL_160 x 600,End quote,10 mins,0.321637427,1368,440,1402,18,7.397876,30%+
End quote_10 mins_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo Homepage_End Quote_10 minutes_P87QGV_VIVAKI AOD_Retargeting_728 x 90,End quote,10 mins,0.307692308,52,16,52,4,0.391391,30%+
End quote_10 mins_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 10 minutes_P8TKF2_VIVAKI AOD_Retargeting_Desktop_728 x 90,End quote,10 mins,0.298521257,2164,646,2229,25,11.595037,-30%
End quote_10 mins_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 10 minutes_P95QJM_VIVAKI AOD_RON_Retargeting_728 x 90,End quote,10 mins,0.295378752,2099,620,2168,37,10.226987,-30%
End quote_10 mins_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 10 minutes_P87QGV_VIVAKI AOD_Retargeting_728 x 90,End quote,10 mins,0.28959276,1989,576,2094,27,10.161365,-30%
End quote_10 mins_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 10 minutes_P87QGV_VIVAKI AOD_Retargeting_728 x 90,End quote,10 mins,0.274278748,2461,675,2494,74,12.070341,-30%
End quote_10 mins_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo Homepage_End Quote_10 minutes_P95QJM_VIVAKI AOD_RON_Retargeting_728 x 90,End quote,10 mins,0.25,4,1,4,,0.035808,-30%
End quote_10 mins_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 10 minutes_P8TKF2_VIVAKI AOD_Retargeting_Desktop_728 x 90,End quote,10 mins,0.238237046,1679,400,1685,71,7.334475,-30%
End quote_10 mins_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 10 minutes_P7T5VY_VIVAKI AOD_Retargeting_NULL_728 x 90,End quote,10 mins,0.220681458,2524,557,2611,17,13.970532,-30%
End quote_10 mins_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 10 minutes_P7B0R9_VIVAKI AOD_Desktop Retargeting_NULL_728 x 90,End quote,10 mins,0.180505415,2216,400,2295,19,13.036656,-30%
End quote_10 mins_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo Homepage_End Quote_10 minutes_P7B0R9_VIVAKI AOD_Desktop Retargeting_NULL_728 x 90,End quote,10 mins,0,2,0,5,,0.010616,-30%
