"This report is not intended to be used, and may not be used, for any billing, invoicing or payment purposes.",,,,,,
,,,,,,
Advertiser,Year and Month,Exchange Deal ID,Imps,Clicks,Spend,Media Cost
Oracle_UK_Zenith International,2017-03,,501277,113,GBP 1580.35149010098,GBP 354.304628511121
SIA_UK_Zenith ,2017-01,,10036103,1619,GBP 5743.27409607285,GBP 5228.89775342979
SIA_UK_Zenith ,2017-02,,12439864,1619,GBP 6834.76032673874,GBP 6221.84856023774
SIA_UK_Zenith ,2017-03,,7411795,1055,GBP 3989.39781652012,GBP 3632.33218032242
Oracle_UK_Zenith International,2017-04,,6520125,3692,GBP 21566.7794049444,GBP 5738.53340579384
SIA_UK_Zenith ,2017-04,,820462,147,GBP 457.593990365358,GBP 416.580948216084
