Month,Advertiser,Advertiser ID,Advertiser Status,Advertiser Integration Code,Public Inventory,Advertiser Currency,Impressions,Clicks,Revenue (Adv Currency),Media Cost (Advertiser Currency)
2016/08,Entertainment One_UK_Zenith,8451,Active,,No,GBP,2139587,30875,50133.152150,35093.690463
2016/08,Molson Coors_UK_Zenith (DCM),676041,Active,,Yes,GBP,469306,295,9770.625783,6839.569368
2016/10,Next_UK_Zenith,378754,Active,,Yes,GBP,395386490,333113,707692.646223,459959.942506
2016/03,Lexus Pan Euro_UK_Zenith International DCM Parent,812132,Active,,No,EUR,40969,33,251.317506,149.511857
2016/08,Qantas_UK_Zenith,213534,Active,,Yes,GBP,1776036,2329,9175.619109,6444.352253
2016/11,SCA_UK_Zenith (non-DCM),707139,Active,,No,GBP,108753,814,3784.010583,2648.839724
2016/08,MOHG_UK_Blue449 DFA USD,542441,Active,,Yes,USD,251,0,4.594032,3.208243
2016/02,David Lloyd_UK_Blue449 EUR,644435,Active,,Yes,EUR,2123881,3215,7901.924712,5364.317131
2016/04,Mercedes-Benz_UK_Zenith/Ninah,312862,Active,,No,GBP,5153417,9783,46401.466108,31764.355196
2017/01,Delta Airline_UK_Zenith International,117532,Active,,No,GBP,1784816,1029,9563.635132,6171.321517
2016/09,Hästens_UK_Zenith,1171837,Active,,Yes,GBP,557047,1043,3970.005373,2779.037667
2016/09,Toyota_UK_Zenith,5071,Active,,No,GBP,14821010,152483,147146.102175,102505.676885
2016/01,PizzaHut_UK_Starcom,5622,Active,,Yes,GBP,667413,244,5657.602279,3960.379434
2016/03,SCA_UK_Zenith (non-DCM),707139,Active,,No,GBP,71517,367,1464.240693,1024.984740
2016/06,Christies_UK_Zenith International,914143,Active,,Yes,GBP,37222333,22019,171686.297345,106760.367546
2016/02,KFC_UK_Blue449,595178,Active,,Yes,GBP,7,4,0.006341,0.004310
2016/10,ACER_UK_Zenith,283933,Active,,Yes,GBP,7669720,5720,30209.327998,17852.603070
2016/02,Toyota (Non DFA)_UK_Zenith,361847,Active,,Yes,GBP,1833337,4678,17511.198034,11716.379040
2016/06,SCA_UK_Zenith (non-DCM),707139,Active,,No,GBP,678801,1028,14866.943694,11553.766881
2016/09,RBS (DFA)_UK_Zenith,333264,Active,,No,GBP,2245098,9423,16686.974870,11635.242142
2016/12,Lombard_UK_Zenith,883545,Active,,Yes,GBP,8424421,3549,6355.112202,4448.632878
