Date,Advertiser,Advertiser Currency Code,Inventory Contract,Impressions,Clicks,Advertiser Cost (Adv Currency),Media Cost (Adv Currency)
06/09/2017,John Frieda_UK_Zenith,GBP,PMP_New York Times_Targeted Wellness Section_Floor_18_AdX_TTD_John Frieda_Billboard,715,0,"14,318385401909287","9,991241724024"
06/09/2017,John Frieda_UK_Zenith,GBP,PMP_OK__ROS_Floor_aDx_ttd_John Frieda_UK_970x250,6609,5,"86,166531875258483","60,28071589166968"
06/09/2017,John Frieda_UK_Zenith,GBP,PMP_Stylist__ROS_Floor_PubMatic_TTD_John Frieda_UK_970x250,608,0,"14,43973633969789","10,104521794326136"
06/09/2017,John Frieda_UK_Zenith,GBP,PMP_Sublime Skinz_ROS_Floor 20_Improve Digital_TheTradeDesk_John Frieda_Sheer Blonde_UK_Standard,57447,653,"1958,6926224115665","1368,5436454708794"
06/09/2017,John Frieda_UK_Zenith,GBP,PMP_TimeInc__ROS_Floor_AdX_TTD_John Frieda_UK_970x250,11,0,"0,32160654668259","0,224638079770438"
06/09/2017,John Frieda_UK_Zenith,GBP,,216913,246,"1241,4859570761138","686,04788733521369"
06/09/2017,Mercedes-Benz_UK_Zenith,GBP,PMP_Mozoo_Multi_Floor £13_AppNexus_TTD_Mercedes_UK_NCO Q3_Interstitial 320x480,82395,2858,"1551,3193654600758","1085,4765827001016"
06/09/2017,Mercedes-Benz_UK_Zenith,GBP,PMP_SublimeSkinz_ROS_Floor: £10_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin_NEW,7845,72,"109,99780158507631","76,04041106244968"
06/09/2017,Mercedes-Benz_UK_Zenith,GBP,PMP_SublimeSkinz_ROS_Floor: £10_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin_New C-Class Skin June,17545,185,"212,01505662301424","191,48205243171812"
06/09/2017,Mercedes-Benz_UK_Zenith,GBP,Publicis Inventory Exchange,76221,73,"314,57131551499213","182,36555720490228"
06/09/2017,Mercedes-Benz_UK_Zenith,GBP,,1502780,1642,"6549,90817580629","4105,6245096227833"
07/09/2017,John Frieda_UK_Zenith,GBP,PMP_Bauer__Women_Floor_Rubicon_TTD_AODWide_UK_970x250,2566,6,"111,72816116886706","78,0963106131782"
07/09/2017,John Frieda_UK_Zenith,GBP,PMP_Conde Nast_Women_Floor_Index Exchange_TTD_John Frieda_UK_970x250,4307,3,"65,916063155169097","46,117901133612"
