Date,Advertiser,Advertiser Currency Code,Inventory Contract,Impressions,Clicks,Advertiser Cost (Adv Currency),Media Cost (Adv Currency)
08/08/2016,COTY_UK_ZENITH,GBP,,78406,69,"55,147,407,054,292,200","32,893,461,845,072,800"
08/08/2016,Mercedes-Benz_UK_Zenith,GBP,Millennial Media - Global - Auto Category - $1-1.60 CPM guidance,46813,114,"13,974,894,604,954,300","97,534,471,850,522,200"
08/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_InMobi_Mercedes CLA_Floor: £3_Rubicon_TheTradeDesk_Mercedes_UK_320x50/300x50,5860,12,"36,287,604,054,023,900","25,365,042,601,475,200"
08/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_InMobi_Mercedes CLA_Floor: £4_Rubicon_TheTradeDesk_Mercedes_UK_300x250,9425,1,"80,143,379,647,302,300","56,042,007,680,773,400"
08/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_InMobi_Mercedes CLA_Floor: £9_Rubicon_TheTradeDesk_Mercedes_UK_768x1024,3738,88,"65,572,242,790,576,800","45,897,658,922,603,900"
08/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_Numbate_Mercedes Audience_Floor: £13_SmartRTB_TheTradeDesk_Mercedes_UK_768x1024,1633,28,"32,817,105,512,005,400","22,970,700,920,350,600"
08/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_Numbate_Mercedes Audience_Floor: £5_SmartRTB_TheTradeDesk_Mercedes_UK_320x50,4063,9,"23,932,354,502,073,900","16,727,492,542,204,900"
08/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_Numbate_Mercedes Audience_Floor: £8.50_SmartRTB_TheTradeDesk_Mercedes_UK_300x250,2346,24,"29,054,164,407,814,800","20,323,385,114,629,200"
08/08/2016,Mercedes-Benz_UK_Zenith,GBP,,1695674,1977,"51,581,058,865,028,800","34,107,954,993,986,900"
09/08/2016,COTY_UK_ZENITH,GBP,,73423,37,"52,491,604,243,121,800","31,276,234,042,481,700"
09/08/2016,Mercedes-Benz_UK_Zenith,GBP,Millennial Media - Global - Auto Category - $1-1.60 CPM guidance,46647,114,"13,964,856,369,740,800","97,464,543,701,577,400"
09/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_InMobi_Mercedes CLA_Floor: £3_Rubicon_TheTradeDesk_Mercedes_UK_320x50/300x50,5971,14,"37,307,667,318,902,400","26,078,307,529,070,600"
09/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_InMobi_Mercedes CLA_Floor: £4_Rubicon_TheTradeDesk_Mercedes_UK_300x250,9334,2,"80,001,861,489,481,800","55,943,364,362,278,200"
09/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_InMobi_Mercedes CLA_Floor: £9_Rubicon_TheTradeDesk_Mercedes_UK_768x1024,3763,101,"66,071,528,739,039,000","46,247,132,348,981,500"
09/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_Numbate_Mercedes Audience_Floor: £13_SmartRTB_TheTradeDesk_Mercedes_UK_768x1024,1373,28,"27,659,775,995,118,300","19,360,770,379,306,100"
09/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_Numbate_Mercedes Audience_Floor: £5_SmartRTB_TheTradeDesk_Mercedes_UK_320x50,4297,4,"25,373,583,924,550,600","17,734,841,938,383,500"
09/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_Numbate_Mercedes Audience_Floor: £8.50_SmartRTB_TheTradeDesk_Mercedes_UK_300x250,1747,14,"21,686,464,596,056,200","15,169,680,688,364,600"
09/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_Xad_Mercedes Audience_Floor: £3.50_Rubicon_TheTradeDesk_Mercedes_UK_320x50/300x50,22570,42,"1,513,330,071,856,540","10,579,301,912,678,500"
09/08/2016,Mercedes-Benz_UK_Zenith,GBP,,1659376,1933,"51,548,903,490,357,100","34,047,291,195,921,300"
10/08/2016,COTY_UK_ZENITH,GBP,PMP_GumGum_Multi_RON_Fixed_BidSwitch_TTD_Coty_UK_In-Screen,5797,54,"99,910,208,622,470,000","69,932,604,961,176,000"
10/08/2016,COTY_UK_ZENITH,GBP,,70806,36,"5,252,912,783,158,240","31,379,608,684,282,700"
10/08/2016,Mercedes-Benz_UK_Zenith,GBP,Millennial Media - Global - Auto Category - $1-1.60 CPM guidance,46855,127,"1,402,999,774,153,130","97,918,225,834,798,300"
10/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_InMobi_Mercedes CLA_Floor: £3_Rubicon_TheTradeDesk_Mercedes_UK_320x50/300x50,5791,18,"35,001,437,795,697,100","24,464,937,244,401,600"
10/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_InMobi_Mercedes CLA_Floor: £4_Rubicon_TheTradeDesk_Mercedes_UK_300x250,9541,3,"80,525,866,392,430,200","56,308,673,766,587,800"
10/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_InMobi_Mercedes CLA_Floor: £9_Rubicon_TheTradeDesk_Mercedes_UK_768x1024,3787,79,"65,622,758,275,466,100","45,932,964,146,912,500"
10/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_Numbate_Mercedes Audience_Floor: £13_SmartRTB_TheTradeDesk_Mercedes_UK_768x1024,1620,38,"32,964,764,814,456,300","23,074,065,079,590,300"
10/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_Numbate_Mercedes Audience_Floor: £5_SmartRTB_TheTradeDesk_Mercedes_UK_320x50,3990,4,"23,788,539,327,934,800","16,627,130,849,203,100"
10/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_Numbate_Mercedes Audience_Floor: £8.50_SmartRTB_TheTradeDesk_Mercedes_UK_300x250,1761,15,"22,063,453,095,516,700","15,433,448,829,639,100"
10/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_Xad_Mercedes Audience_Floor: £3.50_Rubicon_TheTradeDesk_Mercedes_UK_320x50/300x50,22625,36,"15,205,305,567,754,600","10,629,621,483,643,100"
10/08/2016,Mercedes-Benz_UK_Zenith,GBP,,1667618,1992,"5,045,839,716,766,840","33,423,892,764,235,700"
11/08/2016,COTY_UK_ZENITH,GBP,PMP_GumGum_Multi_RON_Fixed_BidSwitch_TTD_Coty_UK_In-Screen,22296,207,"38,406,899,926,732,200","268,830,843,989,664"
11/08/2016,COTY_UK_ZENITH,GBP,,67638,41,"50,866,721,885,954,100","30,361,072,703,920,700"
11/08/2016,Mercedes-Benz_UK_Zenith,GBP,Millennial Media - Global - Auto Category - $1-1.60 CPM guidance,49127,134,"13,987,283,690,591,400","97,605,215,011,032,400"
11/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_InMobi_Mercedes CLA_Floor: £3_Rubicon_TheTradeDesk_Mercedes_UK_320x50/300x50,5619,13,"3,595,858,679,009,510","25,136,032,459,702,400"
11/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_InMobi_Mercedes CLA_Floor: £4_Rubicon_TheTradeDesk_Mercedes_UK_300x250,9334,2,"81,136,948,485,618,400","56,737,753,541,462,900"
11/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_InMobi_Mercedes CLA_Floor: £9_Rubicon_TheTradeDesk_Mercedes_UK_768x1024,3687,96,"6,568,533,259,440,800","45,976,845,642,901,700"
11/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_Numbate_Mercedes Audience_Floor: £13_SmartRTB_TheTradeDesk_Mercedes_UK_768x1024,1707,24,"3,474,629,847,869,140","24,321,070,949,128,500"
11/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_Numbate_Mercedes Audience_Floor: £5_SmartRTB_TheTradeDesk_Mercedes_UK_320x50,3504,11,"20,906,547,799,489,000","14,612,771,161,818,900"
11/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_Numbate_Mercedes Audience_Floor: £8.50_SmartRTB_TheTradeDesk_Mercedes_UK_300x250,1135,11,"14,241,892,263,309,600","9,962,256,912,350,610"
11/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_Xad_Mercedes Audience_Floor: £3.50_Rubicon_TheTradeDesk_Mercedes_UK_320x50/300x50,21990,38,"15,169,138,131,423,900","10,604,707,591,213,500"
