"Date","Advertiser ID","Advertiser","Country","Time Zone","Order ID","External Order ID","Order Name","Order Start Date","Order End Date","Order Currency","Order Budget","Line Item ID","Line Item","External Line Item ID","Line Item Start Date","Line Item End Date","Line Item Budget","Creative ID","Creative","Size","Supply Cost","AAP Platform Fee","Agency Fee","AAP Audience Fee","3p Fee - Integral Ad Science","3p Fee - Integral Ad Science (absorbed)","3p Fee - DoubleVerify","3p Fee - DoubleVerify (absorbed)","3p Fee - Doubleclick Campaign Manager","3p Fee - Doubleclick Campaign Manager (absorbed)","3p Fee - ComScore","3p Fee - ComScore (absorbed)","3p Fee - CPM 1","3p Fee - CPM 1 (absorbed)","3p Fee - CPM 2","3p Fee - CPM 2 (absorbed)","3p Fee - CPM 3","3p Fee - CPM 3 (absorbed)","3p Fee - Automotive","3p Fee - Automotive (absorbed)","Total 3p Fees","Total Cost","Impressions","CPM","Clickthroughs","CTR","CPC","Interactions","Interaction Rate","Video Impression","Video Click","Video Creative View","Video End State Click","Video Start","Video First Quartile","Video Midpoint","Video Third Quartile","Video Complete","Video Pause","Video Resume","Video Replay","Video Skip Back","Video Skip Forward","Video Mute","Video Unmute","Mobile Ad Close","Mobile Call To Action","Mobile Video Start","Mobile Video Stop","DPV","DPVR","DPV - Views","DPV - Clicks","CPDPV","PRPV","PRPVR","PRPV - Views","PRPV - Clicks","CPPRPV","ATL","ATLR","ATL - Views","ATL - Clicks","CPATL","ATC","ATCR","ATC - Views","ATC - Clicks","CPATC","Purchase","Purchase Rate","Purchase - Views","Purchase - Clicks","Cost Per Purchase","Total Pixel Events","Total Pixel Rate","Total Pixel Events - Views","Total Pixel Events - Clicks","Cost Per Pixel Event"
"May 02, 2017 - May 31, 2017","2808256660802","Crucial_IT_Zenith","IT","Europe/London","2939558360502","","O-RV5H_Crucial_IT_2017_Remarketing_May","02-May-2017","31-May-2017","GBP","1150.00","9401713570002","Crucial_IT_Conversion page","","02-May-2017","31-May-2017","1150.00","5532198700002","Amazon_AOD_MX300_IT_retargeting _120x600","120x600","3.98257","0.19913","1.50769","0.00000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000","5.68939","381","14.93278","0","0.00000%","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0"
"May 02, 2017 - May 31, 2017","2808256660802","Crucial_IT_Zenith","IT","Europe/London","2939558360502","","O-RV5H_Crucial_IT_2017_Remarketing_May","02-May-2017","31-May-2017","GBP","1150.00","9401713570002","Crucial_IT_Conversion page","","02-May-2017","31-May-2017","1150.00","6791909900202","Amazon_AOD_MX300_IT_retargeting _728x90","728x90","2.91381","0.14569","1.10309","0.00000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000","4.16259","763","5.45555","0","0.00000%","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.1311%","1","0","4.16259"
"May 02, 2017 - May 31, 2017","2808256660802","Crucial_IT_Zenith","IT","Europe/London","2939558360502","","O-RV5H_Crucial_IT_2017_Remarketing_May","02-May-2017","31-May-2017","GBP","1150.00","4500524420502","Crucial_IT_Basket page","","02-May-2017","31-May-2017","1150.00","2871125020402","Amazon_AOD_MX300_IT_retargeting _300x250","300x250","32.40457","1.62023","12.26744","0.00000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000","46.29224","6,606","7.00761","8","0.12110%","5.78653","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","32","0.4844%","32","0","1.44663"
"May 02, 2017 - May 31, 2017","2808256660802","Crucial_IT_Zenith","IT","Europe/London","2939558360502","","O-RV5H_Crucial_IT_2017_Remarketing_May","02-May-2017","31-May-2017","GBP","1150.00","4500524420502","Crucial_IT_Basket page","","02-May-2017","31-May-2017","1150.00","5532198700002","Amazon_AOD_MX300_IT_retargeting _120x600","120x600","4.42829","0.22141","1.67642","0.00000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000","6.32612","778","8.13126","1","0.12853%","6.32612","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","8","1.0283%","8","0","0.79077"
"May 02, 2017 - May 31, 2017","2808256660802","Crucial_IT_Zenith","IT","Europe/London","2939558360502","","O-RV5H_Crucial_IT_2017_Remarketing_May","02-May-2017","31-May-2017","GBP","1150.00","4500524420502","Crucial_IT_Basket page","","02-May-2017","31-May-2017","1150.00","6791909900202","Amazon_AOD_MX300_IT_retargeting _728x90","728x90","19.30105","0.96505","7.30683","0.00000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000","27.57293","3,962","6.95935","4","0.10096%","6.89323","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0.4038%","16","0","1.72331"
"May 02, 2017 - May 31, 2017","2808256660802","Crucial_IT_Zenith","IT","Europe/London","2144161840202","","O-RV5H_Crucial_IT_2017_Prospecting_May","02-May-2017","31-May-2017","GBP","1150.00","1557832770602","Crucial_IT_Prospecting_Crucial lookalikes","","02-May-2017","31-May-2017","1150.00","6528948210802","AOD_DIY_Time_IT_Prospecting_728x90","728x90","7.65952","0.38298","5.08987","6.07470","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000","19.20707","20,249","0.94854","1","0.00494%","19.20707","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0"
"May 02, 2017 - May 31, 2017","2808256660802","Crucial_IT_Zenith","IT","Europe/London","2144161840202","","O-RV5H_Crucial_IT_2017_Prospecting_May","02-May-2017","31-May-2017","GBP","1150.00","1557832770602","Crucial_IT_Prospecting_Crucial lookalikes","","02-May-2017","31-May-2017","1150.00","9231573750102","AOD_DIY_EOU_IT_Prospecting_970x250","970x250","1.34743","0.06737","0.64379","0.37080","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000","2.42939","1,236","1.96552","3","0.24272%","0.80980","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0"
"May 02, 2017 - May 31, 2017","2808256660802","Crucial_IT_Zenith","IT","Europe/London","2144161840202","","O-RV5H_Crucial_IT_2017_Prospecting_May","02-May-2017","31-May-2017","GBP","1150.00","1557832770602","Crucial_IT_Prospecting_Crucial lookalikes","","02-May-2017","31-May-2017","1150.00","8438317710102","AOD_DIY_Time_IT_Prospecting_300x250","300x250","17.93190","0.89660","10.67946","10.79190","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000","40.29986","35,973","1.12028","25","0.06950%","1.61199","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0028%","1","0","40.29986"
"May 02, 2017 - May 31, 2017","2808256660802","Crucial_IT_Zenith","IT","Europe/London","2144161840202","","O-RV5H_Crucial_IT_2017_Prospecting_May","02-May-2017","31-May-2017","GBP","1150.00","1557832770602","Crucial_IT_Prospecting_Crucial lookalikes","","02-May-2017","31-May-2017","1150.00","1484582070902","AOD_DIY_EOU_IT_Prospecting_728x90","728x90","7.76762","0.38838","5.14107","6.10320","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000","19.40027","20,344","0.95361","1","0.00492%","19.40027","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0049%","1","0","19.40027"
"May 02, 2017 - May 31, 2017","2808256660802","Crucial_IT_Zenith","IT","Europe/London","2144161840202","","O-RV5H_Crucial_IT_2017_Prospecting_May","02-May-2017","31-May-2017","GBP","1150.00","1557832770602","Crucial_IT_Prospecting_Crucial lookalikes","","02-May-2017","31-May-2017","1150.00","2293284110102","AOD_DIY_Value_IT_Prospecting_120x600","120x600","5.06448","0.25322","3.35086","3.97620","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000","12.64476","13,254","0.95403","4","0.03018%","3.16119","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0"
