Insertion Order,Insertion Order ID,Insertion Order Status,Insertion Order Integration Code,Line Item,Line Item ID,Line Item Status,Line Item Integration Code,Targeted Data Providers,Advertiser Currency,Impressions,Clicks,Revenue (Adv Currency),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-KPDH_2016_Aviva_Car_Aug-Sep_TrueView,2510435,Paused,O-KPDH,Aviva_PRO_DEMO & Topic_AV_VR_DBM_DBM_CPCV_15th-21st Aug_Weekdays 10AM-5PM,642147836,Active,PB73T4,,GBP,211842,197,2406.135463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-LVP9_2016_Aviva_Car Insurance_Non-Customers_Retargeting_October,2638741,Paused,O-LVP9,AvivaUK_Car_REM_RTB_Top Converter Channel_Start Quote 24 Hours,8737533,Paused,PC20LH,,GBP,4045,0,19.158893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Prospecting_December_5th,2814418,Paused,O-N4YG,Aviva_PRO_3rd Party_AD_CPA_Visual DNA_RTB_ABC1_Desktop_Peak_AV>50%,9490307,Active,PCVX3Q,VisualDNA,GBP,8581,5,26.462127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Prospecting_December_5th_AI,2814422,Paused,O-N4YG,Aviva_PRO_3rd Party_AD_CPA_Multi_RTB_Audience Composition_Quotes_Desktop_AV>50%,9490349,Active,PCVX3Q,BlueKai eXelate AddThis VisualDNA SkimLinks,GBP,36473,5,87.919153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting,2352596,Paused,O-HZNC,AvivaUK_Car_REM_RTB_Ebay_End Quote 48 Hours,7250135,Paused,VIVAKI AOD_RON_Retargeting,,GBP,10308,1,45.40798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-RK1W_2017_Aviva_Car Insurance_Non-Customers_Retargeting_April 2,3227263,Paused,O-RK1W,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_End Quote 24-48 Hours,11314636,Active,PG0JFS,,GBP,38805,9,114.723387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Prospecting,2293077,Paused,O-HFG9,Aviva_Car_REM_RTB_ABC1_Desktop_Monday,6810114,Paused,VIVAKI AOD_Prospecting,VisualDNA,GBP,13428,4,40.086786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-JSGV_Aviva_UK_AD_2016_July_Car Insurance_Retargeting,2428662,Paused,O-JSGV,AvivaUK_Car_REM_RTB_Other_End Quote 24 Hours,7648739,Paused,VIVAKI AOD_Desktop_Ret argeting,,GBP,228479,78,996.392546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Prospecting_December_5th,2814418,Paused,O-N4YG,Aviva_PRO_3rd Party_AD_CPA_Visual DNA_RTB_ABC1_Desktop_Monday_AV>50%,9490306,Active,PCVX3Q,VisualDNA,GBP,2652,0,8.21998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-LVP9_2016_Aviva_Car Insurance_Non-Customers_Retargeting_October,2638741,Paused,O-LVP9,AvivaUK_Car_REM_RTB_Ebay_End Quote 24 Hours,8737494,Paused,PC20LH,,GBP,16728,1,69.196049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Existing Customers_Retargeting_December,2806248,Paused,O-N4YG,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Existing Customers (non UKDI)_End Quote >48 Hours,9444706,Active,PCVX2H,,GBP,101691,12,279.143414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Prospecting_December_5th,2814418,Paused,O-N4YG,Aviva_PRO_3rd Party_AD_CPA_Multi_RTB_Audience Composition_Sales_Desktop_AV>50%,9490303,Active,PCVX3Q,BlueKai eXelate AddThis Lotame VisualDNA,GBP,21676,9,61.719123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
