Insertion Order,Insertion Order ID,Insertion Order Status,Insertion Order Integration Code,Line Item,Line Item ID,Line Item Status,Line Item Integration Code,Targeted Data Providers,Advertiser Currency,Impressions,Clicks,Revenue (Adv Currency),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-NR27_2017_Aviva_Car Insurance_Non-Customers_Prospecting_January,2886945,Paused,O-NR27,Aviva_PRO_3rd Party_AD_CPA_DBM_RTB_In-Market Google_Desktop_AV>50%,9761274,Active,PCVX3Q,Bid Manager Audiences,GBP,256423,100,648.032644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-SC7K_2017_Aviva_Car Insurance_Non-Customers_Prospecting_May,3323742,Active,O-SC7K,Aviva_PRO_3rd Party_AD_CPA_Visual DNA_RTB_ABC1_Tablet_Peak_AV>50%,11647031,Active,PGNK08,VisualDNA,GBP,34824,49,106.189215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Prospecting,2227377,Paused,O-GGF8,Aviva_Car_REM_RTB_ABC1_Desktop_Peak,6399303,Paused,VIVAKI AOD_Prospecting,VisualDNA,GBP,392577,101,1135.542512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting,2227378,Paused,O-GGF8,AvivaUK_Car_REM_RTB_MSFT_End Quote 24 Hours,6399936,Paused,VIVAKIAOD_Retargeting,,GBP,26915,39,155.339827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-JSGV_Aviva_UK_AD_2016_July_Car Insurance_Retargeting,2428662,Paused,O-JSGV,AvivaUK_Car_REM_RTB_Other_MotorGoodThinkingLandingPage,7648750,Paused,VIVAKI AOD_Desktop_Ret argeting,,GBP,25888,11,106.854609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-LVP9_2016_Aviva_Car Insurance_Existing Customers_Retargeting_October,2646290,Paused,O-LVP9,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Existing Customers (non UKDI)_End Quote,8778292,Paused,PC1ZZC,,GBP,35793,11,103.716558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting,2352596,Paused,O-HZNC,AvivaUK_Car_REM_RTB_Other_End Quote 48 Hours,7250164,Paused,VIVAKI AOD_RON_Retargeting,,GBP,45080,17,255.041854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting,2352596,Paused,O-HZNC,AvivaUK_Car_REM_RTB_Other_MotorGoodThinkingLandingPage,7250172,Paused,VIVAKI AOD_RON_Retargeting,,GBP,29711,18,119.505418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-JSGV_Aviva_UK_AD_2016_July_Car Insurance_Retargeting,2428662,Paused,O-JSGV,AvivaUK_Car_REM_RTB_Other_End Quote_728x90_excl sites,7648747,Paused,VIVAKI AOD_Desktop_Ret argeting,,GBP,160051,50,531.248017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-RK1W_2017_Aviva_Car Insurance_Non-Customers_Retargeting_April 2,3227263,Paused,O-RK1W,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_Car Product Pages 24 Hours_AV>50%,11314631,Active,PG0JFS,,GBP,40206,22,86.536964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-KF4B_Aviva_UK_AD_2016_August_Car Insurance_Retargeting,2488686,Paused,O-KF4B,AvivaUK_Car_REM_RTB_Yahoo_End Quote_10 minutes,7972001,Paused,VIVAKI AOD_Desktop_Ret argeting,,GBP,5511,3,25.614852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-RK1W_2017_Aviva_Car Insurance_Non-Customers_Prospecting_April,3191758,Paused,O-RK1W,Aviva_FIL_KEY CON TAR_AM_CPA_CPM_Mobile_AV>50%,11227522,Active,PG0JHY,,GBP,100415,118,220.256045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-L2PP_2016_Aviva_UK_September_Car Insurance_Retargeting,2564571,Paused,O-L2PP,AvivaUK_Car_REM_RTB_MSFT_Outlook_End Quote,8399514,Paused,PBJWFM,,GBP,191803,191,831.827143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-LVP9_2016_Aviva_Car Insurance_Existing Customers_Retargeting_October,2646290,Paused,O-LVP9,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Existing Customers (non UKDI)_Viewed Car pages,8778294,Paused,PC1ZZC,,GBP,10199,9,28.879902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-LVP9_2016_Aviva_Car Insurance_Non-Customers_Prospecting_October,2637374,Paused,O-LVP9,Aviva_PRO_3rd Party_AD_CPA_Multi_RTB_Audience Composition_Sales_Desktop_AV>50%,8734030,Paused,PC23K9,BlueKai eXelate AddThis Lotame VisualDNA,GBP,486178,124,1356.911897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-LVP9_2016_Aviva_Car Insurance_Non-Customers_Retargeting_October,2638741,Paused,O-LVP9,AvivaUK_Car_REM_RTB_Ebay_Car Homepage,8737490,Paused,PC20LH,,GBP,24152,2,63.967974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-ML40_2016_Aviva_Car Insurance_Non-Customers_Retargeting_November,2712512,Paused,O-ML40,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_End Quote 24 Hours,9110644,Active,PCHC9B,,GBP,641142,135,2217.876995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-NR27_2017_Aviva_Car Insurance_Non-Customers_Retargeting_January,2886946,Paused,O-NR27,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_End Quote >48 Hours_AV>50%,9762202,Active,PCVX37,,GBP,555465,214,1220.813088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-QR5R_2017_Aviva_Car Insurance_Non-Customers_Prospecting_March,3054350,Paused,O-QR5R,Aviva_PRO_3rd Party_AD_CPA_DBM_RTB_In-Market Google_Tablet_AV>50%,10466953,Active,PFHN44,Bid Manager Audiences,GBP,101978,197,245.655993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-LVP9_2016_Aviva_Car Insurance_Non-Customers_Retargeting_October,2638741,Paused,O-LVP9,AvivaUK_Car_REM_RTB_Yahoo_Start Quote_24 Hours,8737544,Paused,PC20LH,,GBP,6569,9,37.224783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Retargeting_December_5th,2814419,Paused,O-N4YG,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_Car Product Pages_AV>50%,9490321,Active,PCVX37,,GBP,8104,4,16.07111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-KF4B_Aviva_UK_AD_2016_August_Car Insurance_Retargeting,2488686,Paused,O-KF4B,AvivaUK_Car_REM_RTB_Other_End Quote 48 Hours,7971969,Paused,VIVAKI AOD_Desktop_Ret argeting,,GBP,64402,24,357.077192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-ML40_2016_Aviva_Car Insurance_Non-Customers_Prospecting_November,2709277,Paused,O-ML40,Aviva_PRO_3rd Party_AD_CPA_Multi_RTB_Audience Composition_Quotes_Tablet_AV>50%,9092338,Active,PCHCCB,BlueKai eXelate AddThis VisualDNA SkimLinks,GBP,183639,199,409.347371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Retargeting_December,2806250,Paused,O-N4YG,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_In Market,9444749,Active,PCVX37,BlueKai eXelate CrossPixel Lotame VisualDNA Eyeota SIRdata,GBP,185,0,0.595397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting,2293078,Paused,O-HFG9,AvivaUK_Car_REM_RTB_Ebay_End Quote,6810547,Paused,VIVAKIAOD_Retargeting,,GBP,86821,8,232.167423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-LVP9_2016_Aviva_Car Insurance_Non-Customers_Prospecting_October,2637374,Paused,O-LVP9,Aviva_PRO_3rd Party_AD_CPA_Visual DNA_RTB_ABC1_Desktop_AV>50%,8734032,Paused,PC23K9,VisualDNA,GBP,392032,84,1201.465074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Existing Customers_Retargeting_December,2806248,Paused,O-N4YG,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Existing Customers (non UKDI)_End Quote 24 Hours,9444703,Active,PCVX2H,,GBP,22980,3,61.475877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Prospecting_December_5th_AI,2814422,Paused,O-N4YG,Aviva_FIL_KEY CON TAR_AD_CPA_RTB_Desktop_AV>50%,9490342,Active,PCVX3Q,,GBP,39435,22,64.675966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-SC7K_2017_Aviva_Car Insurance_Non-Customers_Prospecting_May,3323742,Active,O-SC7K,Aviva_PRO_3rd Party_AM_CPA_DBM_CPM_In-Market Data_Mobile_AV>50%,11647032,Active,PGNK08,BlueKai eXelate CrossPixel Lotame VisualDNA Eyeota SIRdata,GBP,22659,39,90.351239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-SC7K_2017_Aviva_Car Insurance_Non-Customers_Retargeting_May,3323741,Active,O-SC7K,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_Car Product Pages 24 Hours,11646992,Active,PGNK02,,GBP,13085,5,26.070167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting,2293078,Paused,O-HFG9,AvivaUK_Car_REM_RTB_Yahoo_End Quote_10 minutes,6810921,Paused,VIVAKIAOD_Retargeting,,GBP,4802,5,24.070601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting,2352596,Paused,O-HZNC,AvivaUK_Car_REM_RTB_Other_Car Homepage_IAS Top 35%,7250157,Paused,VIVAKI AOD_RON_Retargeting,,GBP,125539,72,541.29905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-JSGV_Aviva_UK_AD_2016_July_Car Insurance_Prospecting,2428661,Paused,O-JSGV,Aviva_Car_REM_RTB_ABC1_Desktop_Peak,7647867,Paused,VIVAKI AOD_Desktop/Tabl et/Mobile_Prospecti ng,VisualDNA,GBP,381827,111,1157.408608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-L2PP_2016_Aviva_UK_September_Car Insurance_Prospecting,2559539,Paused,O-L2PP,Aviva_PRO_3rd Party_AM_CPA_Visual DNA_CPM_ABC1_Mobile_AV>50%,8394678,Paused,PBJWFF,VisualDNA,GBP,267548,373,834.267432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-RK1W_2017_Aviva_Car Insurance_Non-Customers_Prospecting_April,3191758,Paused,O-RK1W,Aviva_PRO_3rd Party_AD_CPA_Multi_RTB_Audience Composition_Quotes_Desktop_AV>50%,11227527,Active,PG0JHY,BlueKai eXelate AddThis VisualDNA SkimLinks,GBP,624190,149,1679.612894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting,2352596,Paused,O-HZNC,AvivaUK_Car_REM_RTB_Yahoo Homepage_End Quote_48 Hours,7250287,Paused,VIVAKI AOD_RON_Retargeting,,GBP,16225,11,77.187443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Prospecting_December,2806249,Paused,O-N4YG,Aviva_PRO_3rd Party_AD_CPA_Visual DNA_RTB_ABC1_Tablet_Peak_AV>50%,9444729,Active,PCVX3Q,VisualDNA,GBP,58169,163,173.127063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-NR27_2017_Aviva_Car Insurance_Non-Customers_Retargeting_January,2886946,Paused,O-NR27,Aviva_REM_Activity REM_AD_CPA_RTB_MSN takeover_In Market_AV>50%,9780842,Active,PCVX37,BlueKai eXelate CrossPixel Lotame VisualDNA Eyeota SIRdata,GBP,387381,131,1122.306907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-QR5R_2017_Aviva_Car Insurance_Non-Customers_Retargeting_March,3054348,Paused,O-QR5R,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_Start Quote >24 Hours_AV>50%,10466937,Active,PFHN6T,,GBP,353708,117,705.743327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting,2352596,Paused,O-HZNC,AvivaUK_Car_REM_RTB_Ebay_End Quote 24 Hours,7250134,Paused,VIVAKI AOD_RON_Retargeting,,GBP,16030,2,68.469905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-LVP9_2016_Aviva_Car Insurance_Non-Customers_Prospecting_October,2637374,Paused,O-LVP9,Aviva_PRO_3rd Party_AD_CPA_Multi_RTB_Audience Composition_Quotes_Tablet_AV>50%,8734029,Paused,PC23K9,BlueKai eXelate AddThis VisualDNA SkimLinks,GBP,244989,224,556.370337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-NR27_2017_Aviva_Car Insurance_Non-Customers_Prospecting_January,2886945,Paused,O-NR27,Aviva_PRO_3rd Party_AD_CPA_Multi_RTB_Audience Composition_Quotes_Desktop_AV>50%,9761276,Active,PCVX3Q,BlueKai eXelate AddThis VisualDNA SkimLinks,GBP,597935,147,1585.694001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-QR5R_2017_Aviva_Car Insurance_Existing Customers_Retargeting_March,3054349,Paused,O-QR5R,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Existing Customers (non UKDI)_Start Quote >24 Hours,10466942,Active,PFHN25,,GBP,128572,43,360.361591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-QR5R_2017_Aviva_Car Insurance_Non-Customers_Retargeting_March,3054348,Paused,O-QR5R,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_Car Product Pages 24 Hours,10466924,Active,PFHN6T,,GBP,112675,45,190.934165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-SC7K_2017_Aviva_Car Insurance_Non-Customers_Prospecting_May,3323742,Active,O-SC7K,Aviva_PRO_3rd Party_AD_CPA_Visual DNA_RTB_ABC1_Desktop_AV>50%,11647026,Active,PGNK08,VisualDNA,GBP,6778,1,21.258873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-SC7K_2017_Aviva_Car Insurance_Non-Customers_Prospecting_May,3323742,Active,O-SC7K,Aviva_PRO_3rd Party_AD_CPA_Visual DNA_RTB_ABC1_Tablet_Monday_AV>50%,11647030,Active,PGNK08,VisualDNA,GBP,3085,3,9.498123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting,2227378,Paused,O-GGF8,AvivaUK_Car_REM_RTB_Ebay_Car Homepage_300x250,6399924,Paused,VIVAKIAOD_Retargeting,,GBP,553,0,0.659736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting,2293078,Paused,O-HFG9,AvivaUK_Car_REM_RTB_Other_End Quote 24 Hours,6810887,Paused,VIVAKIAOD_Retargeting,,GBP,115084,51,520.22669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-KF4B_Aviva_UK_AD_2016_August_Car Insurance_Retargeting,2488686,Paused,O-KF4B,AvivaUK_Car_REM_RTB_Other_Car Homepage,7971962,Paused,VIVAKI AOD_Desktop_Ret argeting,,GBP,50353,24,107.761635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-L2PP_2016_Aviva_UK_September_Car Insurance_Prospecting,2559539,Paused,O-L2PP,Aviva_PRO_3rd Party_AD_CPA_Multi_RTB_Audience Composition_Sales_Tablet_AV>50%,8394631,Paused,PBJWFF,BlueKai eXelate AddThis Lotame VisualDNA,GBP,497250,522,1279.288736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-LVP9_2016_Aviva_Car Insurance_Non-Customers_Prospecting_October,2637374,Paused,O-LVP9,Aviva_FIL_KEY CON TAR_AM_CPA_CPM_Mobile_AV>50%,8795972,Paused,PC23K9,,GBP,48037,38,83.833345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Existing Customers_Retargeting_December,2806248,Paused,O-N4YG,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Existing Customers (non UKDI)_End Quote 24-48 Hours,9444704,Active,PCVX2H,,GBP,8673,4,23.68779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Retargeting_December,2806250,Paused,O-N4YG,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_End Quote >48 Hours_AV>50%,9444748,Active,PCVX37,,GBP,123479,50,412.323864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-L2PP_2016_Aviva_UK_September_Car Insurance_Prospecting,2559539,Paused,O-L2PP,Aviva_PRO_3rd Party_AD_CPA_Multi_RTB_Audience Composition_Quotes_Desktop_AV>50%,8394612,Paused,PBJWFF,BlueKai eXelate AddThis VisualDNA SkimLinks,GBP,534293,108,1484.704964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting,2227378,Paused,O-GGF8,AvivaUK_Car_REM_RTB_Ebay_End Quote 48 Hours,6399928,Paused,VIVAKIAOD_Retargeting,,GBP,7190,1,31.98236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-LVP9_2016_Aviva_Car Insurance_Non-Customers_Retargeting_October,2638741,Paused,O-LVP9,AvivaUK_Car_REM_RTB_MSFT_Car Homepage,8737500,Paused,PC20LH,,GBP,9828,8,31.781328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-RK1W_2017_Aviva_Car Insurance_Existing Customers_Retargeting_April,3191759,Paused,O-RK1W,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Existing Customers (non UKDI)_Viewed Car pages >24 Hours,11227553,Active,PG0J8W,,GBP,28206,6,81.401889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-JSGV_Aviva_UK_AD_2016_July_Car Insurance_Retargeting,2428662,Paused,O-JSGV,AvivaUK_Car_REM_RTB_Other_End Quote 10 minutes,7648738,Paused,VIVAKI AOD_Desktop_Ret argeting,,GBP,15182,6,85.431066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-KF4B_Aviva_UK_AD_2016_August_Car Insurance_Retargeting,2488686,Paused,O-KF4B,AvivaUK_Car_REM_RTB_Other_Start Quote 24 Hours,7971980,Paused,VIVAKI AOD_Desktop_Ret argeting,,GBP,90690,78,401.832366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-L2PP_2016_Aviva_UK_September_Car Insurance_Retargeting,2564571,Paused,O-L2PP,AvivaUK_Car_REM_RTB_Other_Car Homepage,8399528,Paused,PBJWFM,,GBP,34886,20,74.520271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-ML40_2016_Aviva_Car Insurance_Existing Customers_Retargeting_November,2709279,Paused,O-ML40,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Existing Customers (non UKDI)_Start Quote >24 Hours,9095422,Active,PCHC6T,,GBP,38368,11,110.802579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-SC7K_2017_Aviva_Car Insurance_Non-Customers_Retargeting_May,3323741,Active,O-SC7K,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_End Quote 24 Hours_AV>50%,11646997,Active,PGNK02,,GBP,89338,55,272.282611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting,2293078,Paused,O-HFG9,AvivaUK_Car_REM_RTB_Other_End Quote_160x600_excl sites,6810890,Paused,VIVAKIAOD_Retargeting,,GBP,26319,9,86.932566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-L2PP_2016_Aviva_UK_September_Car Insurance_Retargeting,2564571,Paused,O-L2PP,AvivaUK_Car_REM_RTB_Other_Start Quote,8399562,Paused,PBJWFM,,GBP,105748,50,393.882334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-SC7K_2017_Aviva_Car Insurance_Non-Customers_Prospecting_May,3323742,Active,O-SC7K,Aviva_PRO_3rd Party_AM_CPA_Visual DNA_CPM_ABC1_Mobile_Monday_AV>50%,11647035,Active,PGNK08,VisualDNA,GBP,5184,3,17.491768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Prospecting,2227377,Paused,O-GGF8,Aviva_Car_REM_RTB_ABC1_Desktop_Monday,6400017,Paused,VIVAKI AOD_Prospecting,VisualDNA,GBP,22350,1,64.243199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-L2PP_2016_Aviva_UK_September_Car Insurance_Retargeting,2564571,Paused,O-L2PP,AvivaUK_Car_REM_RTB_Other_Aviva Homepage,8399520,Paused,PBJWFM,,GBP,176060,44,503.932096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-L2PP_2016_Aviva_UK_September_Car Insurance_Retargeting,2564571,Paused,O-L2PP,AvivaUK_Car_REM_RTB_Yahoo_Start Quote,8399709,Paused,PBJWFM,,GBP,45540,19,132.171392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-PLTW_2017_Aviva_Car Insurance_Non-Customers_Retargeting_February,2959864,Paused,O-PLTW,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_End Quote >48 Hours,10079767,Active,PDVN1Y,,GBP,1117788,152,1981.8126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-QR5R_2017_Aviva_Car Insurance_Existing Customers_Retargeting_March,3054349,Paused,O-QR5R,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Existing Customers (non UKDI)_Viewed Car pages >24 Hours,10581890,Active,PFHN25,,GBP,25756,8,73.059329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-RK1W_2017_Aviva_Car Insurance_Non-Customers_Prospecting_April,3191758,Paused,O-RK1W,Aviva_PRO_3rd Party_AD_CPA_DBM_RTB_In-Market Google_Tablet_AV>50%,11227526,Active,PG0JHY,Bid Manager Audiences,GBP,93551,120,242.827395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting,2293078,Paused,O-HFG9,AvivaUK_Car_REM_RTB_Yahoo_End Quote_48 Hours,6810923,Paused,VIVAKIAOD_Retargeting,,GBP,5207,3,29.066277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-KF4B_Aviva_UK_AD_2016_August_Car Insurance_Retargeting,2488686,Paused,O-KF4B,AvivaUK_Car_REM_RTB_Other_End Quote_300x250_excl sites,7971971,Paused,VIVAKI AOD_Desktop_Ret argeting,,GBP,626391,187,2349.006776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting,2227378,Paused,O-GGF8,AvivaUK_Car_REM_RTB_Other_Aviva Homepage,6399942,Paused,VIVAKIAOD_Retargeting,,GBP,271107,62,740.39534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting,2352596,Paused,O-HZNC,AvivaUK_Car_REM_RTB_Other_Start Quote,7250174,Paused,VIVAKI AOD_RON_Retargeting,,GBP,405865,157,1520.05322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting,2352596,Paused,O-HZNC,AvivaUK_Car_REM_RTB_Yahoo_End Quote_10 minutes,7250291,Paused,VIVAKI AOD_RON_Retargeting,,GBP,4505,3,22.669499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-L2PP_2016_Aviva_UK_September_Car Insurance_Prospecting,2559539,Paused,O-L2PP,Aviva_PRO_3rd Party_AD_CPA_Visual DNA_RTB_ABC1_Tablet_Peak_AV>50%,8394665,Paused,PBJWFF,VisualDNA,GBP,418100,383,1246.047706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Retargeting_December_5th,2814419,Paused,O-N4YG,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_Start Quote >24 Hours_AV>50%,9490334,Active,PCVX37,,GBP,120971,49,272.128617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-QR5R_2017_Aviva_Car Insurance_Non-Customers_Retargeting_March,3054348,Paused,O-QR5R,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_End Quote 24-48 Hours,10466928,Active,PFHN6T,,GBP,42890,10,122.027891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-JSGV_Aviva_UK_AD_2016_July_Car Insurance_Retargeting,2428662,Paused,O-JSGV,AvivaUK_Car_REM_RTB_MSFT_End Quote 24 Hours,7648718,Paused,VIVAKI AOD_Desktop_Ret argeting,,GBP,64542,92,368.394845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-KF4B_Aviva_UK_AD_2016_August_Car Insurance_Retargeting,2488686,Paused,O-KF4B,AvivaUK_Car_REM_RTB_Yahoo_Car Homepage,7971998,Paused,VIVAKI AOD_Desktop_Ret argeting,,GBP,34474,44,114.855464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-ML40_2016_Aviva_Car Insurance_Existing Customers_Retargeting_November,2709279,Paused,O-ML40,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Existing Customers (non UKDI)_End Quote 24 Hours,9092433,Active,PCHC6T,,GBP,23957,5,65.121482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-QR5R_2017_Aviva_Car Insurance_Non-Customers_Retargeting_March,3054348,Paused,O-QR5R,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_In Market_AV>50%,10466933,Active,PFHN6T,BlueKai eXelate CrossPixel Lotame VisualDNA Eyeota SIRdata,GBP,917,0,2.905243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Retargeting_December_5th,2814419,Paused,O-N4YG,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_End Quote >48 Hours_AV>50%,9490327,Active,PCVX37,,GBP,127509,53,319.795144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
